TransactionID,Date,CustomerID,ProductID,RegionID,Units,UnitCost,Category,UnitPrice,DiscountPct,Revenue,COGS,GrossProfit
118,2024-08-03,1187,110,3,3,75.36,Services,155.38,0.064,436.31,226.08,210.23
119,2024-05-26,1119,116,1,1,27.96,Add-on,36.78,0.104,32.95,27.96,4.99
120,2024-12-01,1241,114,4,3,57.45,Add-on,84.44,0.02,248.25,172.35,75.9
121,2024-06-16,1071,103,1,1,29.42,Services,38.48,0.042,36.86,29.42,7.44
122,2024-04-01,1242,107,2,4,65.35,Subscription,83.93,0.057,316.58,261.4,55.18
123,2024-12-18,1130,117,2,5,64.14,Add-on,100.69,0.159,423.4,320.7,102.7
124,2025-07-24,1268,113,1,7,47.13,Services,99.68,0.106,623.8,329.91,293.89
125,2025-07-24,1051,101,3,3,116.54,Add-on,245.25,0.062,690.13,349.62,340.51
126,2025-11-11,1061,115,1,4,95.3,Subscription,175.91,0.0,703.64,381.2,322.44
127,2026-02-19,1118,114,1,3,57.45,Add-on,96.14,0.04,276.88,172.35,104.53
128,2024-12-28,1263,105,2,2,26.09,Add-on,45.86,0.107,81.91,52.18,29.73
129,2025-07-10,1238,108,1,5,54.67,Services,99.96,0.029,485.31,273.35,211.96
130,2024-12-10,1254,111,1,4,21.04,Services,35.23,0.084,129.08,84.16,44.92
131,2025-11-23,1172,109,4,4,38.49,Hardware,65.64,0.0,262.56,153.96,108.6
132,2024-06-18,1236,106,3,4,39.99,Subscription,79.81,0.061,299.77,159.96,139.81
133,2024-12-21,1094,104,2,2,25.91,Services,52.65,0.029,102.25,51.82,50.43
134,2024-07-09,1056,107,2,2,65.35,Subscription,110.96,0.114,196.62,130.7,65.92
135,2025-10-28,1066,111,1,2,21.04,Services,36.97,0.033,71.5,42.08,29.42
136,2025-02-25,1045,100,1,2,7.37,Services,9.82,0.155,16.6,14.74,1.86
137,2025-11-30,1093,109,5,1,38.49,Hardware,59.39,0.03,57.61,38.49,19.12
138,2024-01-07,1137,110,3,2,75.36,Services,129.64,0.084,237.5,150.72,86.78
139,2024-05-12,1092,119,3,5,10.34,Services,16.66,0.021,81.55,51.7,29.85
140,2026-01-16,1231,104,1,6,25.91,Services,50.7,0.039,292.34,155.46,136.88
141,2025-07-10,1048,112,5,4,38.6,Services,53.17,0.0,212.68,154.4,58.28
142,2026-01-30,1022,117,1,2,64.14,Add-on,89.15,0.11,158.69,128.28,30.41
143,2024-01-31,1061,109,1,2,38.49,Hardware,81.69,0.025,159.3,76.98,82.32
144,2025-06-18,1266,116,5,4,27.96,Add-on,35.49,0.105,127.05,111.84,15.21
145,2025-03-01,1117,118,2,2,73.13,Add-on,102.4,0.104,183.5,146.26,37.24
146,2025-01-28,1087,103,4,3,29.42,Services,56.7,0.174,140.5,88.26,52.24
147,2025-11-02,1088,108,4,5,54.67,Services,93.03,0.11,413.98,273.35,140.63
148,2024-12-28,1054,117,2,1,64.14,Add-on,81.94,0.106,73.25,64.14,9.11
149,2025-03-12,1152,115,4,4,95.3,Subscription,174.18,0.069,648.65,381.2,267.45
150,2025-10-31,1238,106,1,3,39.99,Subscription,55.26,0.1,149.2,119.97,29.23
151,2025-07-04,1264,111,4,3,21.04,Services,28.42,0.071,79.21,63.12,16.09
152,2024-03-22,1267,103,2,3,29.42,Services,42.59,0.062,119.85,88.26,31.59
153,2024-12-21,1112,111,1,3,21.04,Services,32.51,0.082,89.53,63.12,26.41
154,2024-09-14,1165,111,2,5,21.04,Services,44.15,0.002,220.31,105.2,115.11
155,2025-12-18,1155,103,5,2,29.42,Services,49.53,0.119,87.27,58.84,28.43
156,2025-08-11,1007,111,3,2,21.04,Services,27.97,0.0,55.94,42.08,13.86
157,2025-06-07,1201,107,3,3,65.35,Subscription,141.64,0.053,402.4,196.05,206.35
158,2024-10-21,1216,102,3,4,100.73,Subscription,156.35,0.042,599.13,402.92,196.21
159,2024-08-11,1291,115,1,2,95.3,Subscription,203.64,0.059,383.25,190.6,192.65
160,2025-06-08,1049,101,2,5,116.54,Add-on,179.15,0.04,859.92,582.7,277.22
161,2024-02-15,1106,105,1,2,26.09,Add-on,32.37,0.008,64.22,52.18,12.04
162,2025-10-28,1008,116,1,7,27.96,Add-on,50.83,0.237,271.48,195.72,75.76
163,2024-04-22,1232,111,5,2,21.04,Services,44.91,0.053,85.06,42.08,42.98
164,2024-08-20,1187,108,3,3,54.67,Services,103.13,0.102,277.83,164.01,113.82
165,2024-01-17,1109,115,4,1,95.3,Subscription,113.68,0.085,104.02,95.3,8.72
166,2024-12-25,1144,106,3,4,39.99,Subscription,56.74,0.039,218.11,159.96,58.15
167,2024-08-10,1227,107,2,2,65.35,Subscription,114.39,0.033,221.23,130.7,90.53
168,2025-11-30,1113,106,2,3,39.99,Subscription,46.23,0.04,133.14,119.97,13.17
169,2025-03-23,1062,104,1,2,25.91,Services,44.38,0.077,81.93,51.82,30.11
170,2024-12-30,1274,106,1,1,39.99,Subscription,79.63,0.072,73.9,39.99,33.91
171,2025-11-05,1123,117,2,3,64.14,Add-on,140.29,0.039,404.46,192.42,212.04
172,2024-11-21,1085,117,1,2,64.14,Add-on,109.76,0.123,192.52,128.28,64.24
173,2025-04-11,1069,115,4,3,95.3,Subscription,177.6,0.085,487.51,285.9,201.61
174,2025-02-17,1046,106,1,4,39.99,Subscription,52.45,0.048,199.73,159.96,39.77
175,2025-03-30,1198,101,2,4,116.54,Add-on,148.4,0.081,545.52,466.16,79.36
176,2025-08-08,1200,116,2,6,27.96,Add-on,51.03,0.071,284.44,167.76,116.68
177,2024-08-20,1275,107,1,3,65.35,Subscription,86.14,0.012,255.32,196.05,59.27
178,2024-08-11,1036,101,2,4,116.54,Add-on,227.44,0.086,831.52,466.16,365.36
179,2025-02-15,1202,117,5,4,64.14,Add-on,120.43,0.002,480.76,256.56,224.2
180,2025-07-25,1129,118,4,3,73.13,Add-on,112.66,0.053,320.07,219.39,100.68
181,2024-11-30,1291,119,1,1,10.34,Services,19.15,0.028,18.61,10.34,8.27
182,2024-08-09,1063,108,4,6,54.67,Services,84.19,0.001,504.63,328.02,176.61
183,2024-02-06,1262,111,3,4,21.04,Services,37.87,0.037,145.88,84.16,61.72
184,2024-10-04,1119,118,1,4,73.13,Add-on,134.76,0.019,528.8,292.52,236.28
185,2024-07-14,1277,107,2,2,65.35,Subscription,123.92,0.04,237.93,130.7,107.23
186,2025-04-28,1201,107,3,2,65.35,Subscription,111.27,0.035,214.75,130.7,84.05
187,2024-08-29,1045,109,1,3,38.49,Hardware,59.22,0.097,160.43,115.47,44.96
188,2024-11-19,1167,117,4,2,64.14,Add-on,115.34,0.0,230.68,128.28,102.4
189,2025-12-31,1109,114,4,4,57.45,Add-on,95.1,0.076,351.49,229.8,121.69
190,2024-07-10,1045,110,1,1,75.36,Services,91.38,0.047,87.09,75.36,11.73
191,2024-01-17,1211,113,1,2,47.13,Services,78.43,0.033,151.68,94.26,57.42
192,2025-06-07,1027,114,5,7,57.45,Add-on,88.2,0.12,543.31,402.15,141.16
193,2025-02-04,1086,113,3,2,47.13,Services,57.03,0.123,100.03,94.26,5.77
194,2025-12-05,1290,111,5,4,21.04,Services,26.58,0.146,90.8,84.16,6.64
195,2024-01-22,1156,103,4,4,29.42,Services,51.48,0.067,192.12,117.68,74.44
196,2025-04-18,1264,102,4,1,100.73,Subscription,202.28,0.0,202.28,100.73,101.55
197,2024-04-29,1264,111,4,2,21.04,Services,34.72,0.079,63.95,42.08,21.87
198,2024-07-28,1021,106,3,2,39.99,Subscription,48.02,0.032,92.97,79.98,12.99
199,2024-11-01,1255,106,5,4,39.99,Subscription,81.34,0.06,305.84,159.96,145.88
200,2024-09-26,1190,118,2,4,73.13,Add-on,135.12,0.142,463.73,292.52,171.21
201,2025-12-04,1231,113,1,2,47.13,Services,99.51,0.07,185.09,94.26,90.83
202,2025-11-17,1185,100,1,6,7.37,Services,16.14,0.11,44.22,44.22,0.0
203,2024-10-11,1182,106,5,1,39.99,Subscription,81.53,0.016,80.23,39.99,40.24
204,2025-12-16,1201,109,3,1,38.49,Hardware,81.06,0.07,75.39,38.49,36.9
205,2025-11-06,1064,117,2,1,64.14,Add-on,125.52,0.01,124.26,64.14,60.12
206,2026-02-01,1042,112,4,1,38.6,Services,81.56,0.006,81.07,38.6,42.47
207,2024-08-14,1220,107,3,5,65.35,Subscription,107.47,0.032,520.15,326.75,193.4
208,2025-01-15,1016,108,5,4,54.67,Services,116.0,0.015,457.04,218.68,238.36
209,2025-04-04,1284,114,4,3,57.45,Add-on,78.88,0.071,219.84,172.35,47.49
210,2024-01-07,1182,107,5,3,65.35,Subscription,83.26,0.0,249.78,196.05,53.73
211,2024-01-29,1043,100,5,5,7.37,Services,12.13,0.03,58.83,36.85,21.98
212,2024-02-02,1187,102,3,2,100.73,Subscription,143.09,0.0,286.18,201.46,84.72
213,2025-10-07,1262,118,3,5,73.13,Add-on,134.38,0.0,671.9,365.65,306.25
214,2024-03-19,1173,108,2,2,54.67,Services,109.72,0.0,219.44,109.34,110.1
215,2025-04-03,1053,118,2,1,73.13,Add-on,100.74,0.061,94.59,73.13,21.46
216,2025-07-23,1219,114,3,1,57.45,Add-on,70.27,0.055,66.41,57.45,8.96
217,2025-06-21,1045,113,1,2,47.13,Services,84.29,0.122,148.01,94.26,53.75
218,2025-04-26,1259,100,5,4,7.37,Services,13.58,0.111,48.29,29.48,18.81
219,2025-03-05,1194,102,4,4,100.73,Subscription,177.2,0.101,637.21,402.92,234.29
220,2026-01-07,1060,101,4,6,116.54,Add-on,218.59,0.113,1163.34,699.24,464.1
221,2024-10-11,1165,100,2,3,7.37,Services,8.92,0.0,26.76,22.11,4.65
222,2025-05-30,1159,117,2,1,64.14,Add-on,119.86,0.041,114.95,64.14,50.81
223,2024-04-08,1150,100,1,3,7.37,Services,12.42,0.071,34.61,22.11,12.5
224,2025-01-31,1110,108,2,3,54.67,Services,79.36,0.061,223.56,164.01,59.55
225,2025-05-03,1036,106,2,1,39.99,Subscription,64.49,0.062,60.49,39.99,20.5
226,2024-02-08,1002,112,1,3,38.6,Services,51.96,0.0,155.88,115.8,40.08
227,2024-09-27,1012,116,5,4,27.96,Add-on,32.86,0.012,129.86,111.84,18.02
228,2024-06-05,1161,112,1,1,38.6,Services,52.36,0.0,52.36,38.6,13.76
229,2024-03-15,1263,112,2,1,38.6,Services,64.97,0.15,55.22,38.6,16.62
230,2024-05-09,1082,109,3,2,38.49,Hardware,62.08,0.053,117.58,76.98,40.6
231,2025-11-17,1264,105,4,2,26.09,Add-on,56.24,0.032,55.86,52.18,3.68
232,2024-03-24,1218,104,5,5,25.91,Services,54.3,0.083,248.97,129.55,119.42
233,2024-01-22,1145,109,1,5,38.49,Hardware,54.19,0.1,243.86,192.45,51.41
234,2025-04-03,1297,113,4,4,47.13,Services,74.97,0.117,264.79,188.52,76.27
235,2025-06-22,1296,110,1,2,75.36,Services,163.22,0.085,298.69,150.72,147.97
236,2025-12-07,1160,104,3,3,25.91,Services,40.66,0.15,103.68,77.73,25.95
237,2025-01-16,1228,103,5,2,29.42,Services,64.14,0.021,125.59,58.84,66.75
238,2026-01-17,1233,102,1,3,100.73,Subscription,140.07,0.0,420.21,302.19,118.02
239,2025-03-15,1088,113,4,3,47.13,Services,83.95,0.049,239.51,141.39,98.12
240,2025-08-26,1214,112,2,4,38.6,Services,75.17,0.065,281.14,154.4,126.74
241,2024-01-21,1096,104,2,1,25.91,Services,33.28,0.006,33.08,25.91,7.17
242,2024-10-29,1212,111,4,3,21.04,Services,45.82,0.071,127.7,63.12,64.58
243,2024-03-24,1099,109,5,1,38.49,Hardware,72.01,0.061,67.62,38.49,29.13
244,2026-02-12,1144,101,3,3,116.54,Add-on,142.27,0.023,416.99,349.62,67.37
245,2025-10-20,1009,106,5,2,39.99,Subscription,48.99,0.115,86.71,79.98,6.73
246,2025-03-28,1043,106,5,5,39.99,Subscription,58.77,0.075,271.81,199.95,71.86
247,2025-01-21,1250,103,1,4,29.42,Services,63.69,0.097,230.05,117.68,112.37
248,2025-05-21,1226,111,4,2,21.04,Services,42.67,0.0,85.34,42.08,43.26
249,2024-09-13,1248,103,3,2,29.42,Services,56.88,0.051,107.96,58.84,49.12
250,2025-07-23,1168,106,3,4,39.99,Subscription,56.59,0.081,208.02,159.96,48.06
251,2025-06-10,1129,119,4,2,10.34,Services,21.11,0.083,38.72,20.68,18.04
252,2024-06-10,1018,112,5,1,38.6,Services,66.38,0.014,65.45,38.6,26.85
253,2024-06-11,1234,107,1,2,65.35,Subscription,143.06,0.008,283.83,130.7,153.13
254,2025-06-07,1000,113,3,3,47.13,Services,67.68,0.129,176.85,141.39,35.46
255,2026-02-24,1129,102,4,2,100.73,Subscription,209.09,0.067,390.16,201.46,188.7
256,2024-09-27,1026,101,3,6,116.54,Add-on,141.44,0.029,824.03,699.24,124.79
257,2025-05-06,1001,109,3,3,38.49,Hardware,77.44,0.06,218.38,115.47,102.91
258,2024-07-26,1249,105,3,3,26.09,Add-on,45.69,0.092,124.46,78.27,46.19
259,2025-06-22,1221,106,1,1,39.99,Subscription,65.68,0.046,62.66,39.99,22.67
260,2025-08-06,1137,115,3,5,95.3,Subscription,131.81,0.134,570.74,476.5,94.24
261,2024-02-29,1274,105,1,3,26.09,Add-on,34.63,0.138,89.55,78.27,11.28
262,2025-03-05,1140,115,5,3,95.3,Subscription,145.52,0.047,416.04,285.9,130.14
263,2025-10-18,1255,111,5,4,21.04,Services,27.83,0.023,108.76,84.16,24.6
264,2025-08-27,1094,114,2,3,57.45,Add-on,80.52,0.081,221.99,172.35,49.64
265,2024-11-04,1172,102,4,4,100.73,Subscription,220.26,0.064,824.65,402.92,421.73
266,2025-06-03,1056,115,2,5,95.3,Subscription,194.12,0.092,881.3,476.5,404.8
267,2025-08-13,1101,117,2,3,64.14,Add-on,76.54,0.017,225.72,192.42,33.3
268,2024-01-27,1168,114,3,3,57.45,Add-on,85.29,0.133,221.84,172.35,49.49
269,2025-11-16,1069,105,4,4,26.09,Add-on,34.53,0.126,120.72,104.36,16.36
270,2025-07-15,1048,116,5,2,27.96,Add-on,37.48,0.0,74.96,55.92,19.04
271,2024-07-17,1004,101,1,4,116.54,Add-on,153.96,0.042,589.97,466.16,123.81
272,2025-01-21,1201,101,3,6,116.54,Add-on,203.27,0.068,1136.69,699.24,437.45
273,2024-12-14,1201,116,3,1,27.96,Add-on,37.3,0.058,35.14,27.96,7.18
274,2025-11-23,1178,118,5,3,73.13,Add-on,160.59,0.064,450.94,219.39,231.55
275,2025-06-19,1056,104,2,5,25.91,Services,34.98,0.052,165.81,129.55,36.26
276,2025-01-12,1185,103,1,2,29.42,Services,60.7,0.0,121.4,58.84,62.56
277,2025-07-11,1091,117,3,3,64.14,Add-on,127.03,0.017,374.61,192.42,182.19
278,2025-06-10,1291,107,1,3,65.35,Subscription,140.94,0.038,406.75,196.05,210.7
279,2024-06-01,1226,108,4,3,54.67,Services,116.81,0.013,345.87,164.01,181.86
280,2026-01-03,1111,117,2,4,64.14,Add-on,108.72,0.074,402.7,256.56,146.14
281,2024-07-24,1147,110,4,2,75.36,Services,165.34,0.08,304.23,150.72,153.51
282,2025-03-30,1268,115,1,5,95.3,Subscription,200.41,0.102,899.84,476.5,423.34
283,2024-09-29,1202,115,5,4,95.3,Subscription,157.69,0.052,597.96,381.2,216.76
284,2024-08-23,1055,103,2,1,29.42,Services,48.45,0.097,43.75,29.42,14.33
285,2026-01-09,1184,108,3,2,54.67,Services,104.68,0.073,194.08,109.34,84.74
286,2025-06-04,1053,112,2,2,38.6,Services,64.83,0.014,127.84,77.2,50.64
287,2025-11-08,1036,119,2,3,10.34,Services,21.67,0.033,62.86,31.02,31.84
288,2025-12-26,1210,107,4,4,65.35,Subscription,82.53,0.047,314.6,261.4,53.2
289,2025-05-15,1292,110,1,5,75.36,Services,161.88,0.003,806.97,376.8,430.17
290,2024-04-26,1269,108,2,2,54.67,Services,119.37,0.0,238.74,109.34,129.4
291,2025-01-20,1219,117,3,3,64.14,Add-on,140.56,0.051,400.17,192.42,207.75
292,2024-12-09,1227,119,2,2,10.34,Services,19.25,0.015,37.92,20.68,17.24
293,2025-08-06,1210,102,4,3,100.73,Subscription,118.24,0.161,297.61,302.19,-4.58
294,2025-01-29,1297,117,4,1,64.14,Add-on,127.27,0.039,122.31,64.14,58.17
295,2024-03-04,1000,118,3,6,73.13,Add-on,142.34,0.049,812.19,438.78,373.41
296,2025-12-17,1022,108,1,1,54.67,Services,71.88,0.005,71.52,54.67,16.85
297,2025-12-21,1283,117,2,2,64.14,Add-on,92.9,0.063,174.09,128.28,45.81
298,2024-03-12,1187,115,3,2,95.3,Subscription,129.92,0.016,255.68,190.6,65.08
299,2026-02-27,1017,113,5,3,47.13,Services,99.7,0.112,265.6,141.39,124.21
300,2024-09-30,1048,118,5,2,73.13,Add-on,110.73,0.032,214.37,146.26,68.11
