EmployeeKey,Age,AttritionFlag,CommuteMiles,Department,Gender,JobRole,JobSatisfaction,MonthlySalary,OvertimeFlag,PerformanceRating,TenureYears,TrainingHoursMonthly,YearsSincePromotion,HireDate,TerminationDate,SnapshotDate
100071,60,0,6,Sales,Male,Sales Manager,3,10293.1,0,4,7,14,6,2019-07-25,,2026-09-01
100072,47,1,38,Customer Support,Female,Customer Success Manager,1,6722.46,0,1,3,3,1,2023-03-29,2026-08-27,2026-09-01
100073,58,0,36,Sales,Male,Account Executive,5,4640.62,0,5,12,7,4,2014-03-27,,2026-09-01
100074,22,0,36,Operations,Male,Operations Analyst,4,11292.82,0,4,18,10,9,2008-01-03,,2026-09-01
100075,63,0,13,Sales,Male,Sales Manager,2,10109.43,0,4,11,10,11,2015-01-27,,2026-09-01
100076,57,0,28,Operations,Male,Operations Analyst,2,3978.81,0,1,7,21,2,2019-04-28,,2026-09-01
100077,46,0,23,HR,Female,HR Specialist,1,6953.25,0,3,13,7,4,2013-03-04,,2026-09-01
100078,46,0,25,Engineering,Female,Data Analyst,2,13594.37,0,2,8,1,0,2017-11-15,,2026-09-01
100079,44,0,6,Operations,Female,Coordinator,5,13537.76,0,3,6,21,1,2020-03-06,,2026-09-01
100080,37,0,20,Engineering,Female,BI Developer,4,9246.29,0,1,19,12,18,2006-09-06,,2026-09-01
100081,49,0,16,Customer Support,Male,Support Lead,3,3942.51,1,2,16,1,16,2009-11-20,,2026-09-01
100082,24,0,29,Finance,Male,Finance Manager,3,7418.4,0,2,0,0,0,2025-12-12,,2026-09-01
100083,49,0,3,Sales,Female,Sales Representative,3,8912.24,0,1,7,14,4,2018-10-16,,2026-09-01
100084,28,0,32,Operations,Male,Coordinator,3,14077.94,1,5,1,13,0,2024-11-15,,2026-09-01
100085,53,0,19,Sales,Male,Sales Representative,4,10465.06,1,1,20,14,4,2006-04-08,,2026-09-01
100086,43,0,5,Sales,Male,Sales Representative,5,7826.35,0,2,11,20,11,2015-08-13,,2026-09-01
100087,30,0,32,Customer Support,Female,Support Specialist,1,8678.0,0,1,13,7,1,2013-01-30,,2026-09-01
100088,42,1,26,Engineering,Male,Data Analyst,2,13376.47,0,5,10,10,5,2016-08-29,2025-09-25,2026-09-01
100089,58,1,37,Operations,Female,Operations Analyst,1,8821.35,1,5,1,9,1,2025-08-16,2025-10-23,2026-09-01
100090,60,0,7,Customer Support,Male,Customer Success Manager,2,13532.85,0,4,1,13,1,2024-12-08,,2026-09-01
100091,56,0,29,Finance,Male,Financial Analyst,5,12658.99,0,4,18,16,6,2007-11-25,,2026-09-01
100092,44,1,33,Sales,Male,Sales Representative,2,3552.37,0,3,4,19,2,2021-10-25,2026-02-12,2026-09-01
100093,29,0,17,Sales,Male,Account Executive,1,8799.05,0,2,8,24,6,2017-11-10,,2026-09-01
100094,50,0,12,HR,Female,HR Manager,3,6754.94,1,1,5,16,1,2020-09-13,,2026-09-01
100095,36,0,31,Operations,Male,Operations Manager,5,11777.11,1,1,18,17,11,2007-12-13,,2026-09-01
100096,46,0,10,Engineering,Female,Software Engineer,1,5240.5,0,2,14,6,13,2011-11-19,,2026-09-01
100097,28,0,23,Engineering,Male,BI Developer,5,8558.62,1,3,17,17,9,2008-10-22,,2026-09-01
100098,54,0,40,Finance,Female,Financial Analyst,2,11389.86,0,1,2,3,0,2023-11-14,,2026-09-01
100099,36,0,2,Sales,Female,Account Executive,3,13032.12,0,5,12,12,1,2014-05-17,,2026-09-01
100100,49,0,16,Finance,Female,Finance Manager,4,14320.14,1,1,16,6,4,2009-10-19,,2026-09-01
100101,34,0,18,Finance,Male,Financial Analyst,5,3675.65,0,1,17,14,16,2008-10-13,,2026-09-01
100102,57,0,39,Operations,Female,Coordinator,3,13412.08,1,4,4,3,2,2022-02-16,,2026-09-01
100103,65,1,34,Customer Support,Female,Support Specialist,1,5691.49,0,3,13,23,5,2012-10-07,2026-07-09,2026-09-01
100104,55,0,35,Engineering,Female,Software Engineer,2,8750.41,1,3,19,2,5,2007-01-04,,2026-09-01
100105,24,1,34,Engineering,Male,Software Engineer,3,13115.31,0,4,13,8,2,2012-09-10,2025-10-04,2026-09-01
100106,60,0,24,Engineering,Female,BI Developer,4,7411.38,0,5,4,15,1,2022-01-19,,2026-09-01
100107,48,0,40,Operations,Female,Operations Analyst,5,8630.63,0,2,4,2,1,2022-06-13,,2026-09-01
100108,26,0,40,HR,Female,HR Specialist,4,12811.57,1,1,18,12,10,2007-10-02,,2026-09-01
100109,47,0,7,Sales,Female,Sales Representative,5,13153.84,1,3,5,22,1,2021-02-26,,2026-09-01
100110,59,0,2,HR,Male,Recruiter,5,8934.39,0,5,17,13,16,2008-09-11,,2026-09-01
100111,55,1,19,Sales,Male,Account Executive,2,8084.32,1,4,15,14,13,2010-10-11,2025-11-27,2026-09-01
100112,24,1,22,Operations,Male,Operations Manager,1,9778.53,0,2,16,23,13,2010-08-21,2025-11-20,2026-09-01
100113,55,0,29,Operations,Female,Coordinator,3,12483.1,0,3,19,10,1,2007-08-26,,2026-09-01
100114,55,0,15,Operations,Female,Operations Analyst,5,11038.61,0,2,12,14,3,2014-07-25,,2026-09-01
100115,64,0,16,Finance,Male,Financial Analyst,5,10415.34,0,1,20,4,2,2005-11-03,,2026-09-01
100116,35,0,25,Operations,Female,Operations Manager,4,9559.08,0,3,1,7,1,2025-03-23,,2026-09-01
100117,28,0,7,HR,Female,HR Specialist,3,12203.82,0,4,14,2,3,2012-08-06,,2026-09-01
100118,27,0,20,Customer Support,Female,Support Lead,4,9510.06,0,4,16,21,1,2010-01-09,,2026-09-01
100119,28,1,30,HR,Male,HR Specialist,2,8623.31,0,3,20,12,0,2005-12-02,2025-12-08,2026-09-01
100120,37,0,32,Finance,Female,Financial Analyst,4,11137.85,0,2,11,0,1,2015-07-18,,2026-09-01
100121,53,0,26,HR,Male,Recruiter,2,14245.37,0,2,12,17,1,2014-05-09,,2026-09-01
100122,31,0,6,Engineering,Male,QA Engineer,1,13779.2,0,1,2,17,1,2024-05-02,,2026-09-01
100123,27,0,16,Customer Support,Male,Customer Success Manager,4,9951.48,1,3,10,8,9,2016-06-10,,2026-09-01
100124,32,0,19,Customer Support,Male,Customer Success Manager,4,11610.35,1,5,12,22,2,2014-08-08,,2026-09-01
100125,42,0,3,Sales,Female,Sales Representative,4,5454.83,0,5,4,21,0,2021-09-15,,2026-09-01
100126,51,0,4,Customer Support,Male,Support Specialist,4,7392.74,1,2,19,16,18,2006-11-13,,2026-09-01
100127,54,1,15,Sales,Female,Account Executive,2,12160.4,0,3,3,18,1,2023-06-28,2025-12-07,2026-09-01
100128,60,1,35,HR,Female,Recruiter,2,11288.82,1,2,20,11,13,2006-01-20,2025-11-12,2026-09-01
100129,61,0,39,Customer Support,Female,Support Specialist,1,10687.62,0,1,14,24,8,2012-08-19,,2026-09-01
100130,21,0,23,HR,Female,HR Specialist,3,13185.92,0,2,7,9,3,2019-03-22,,2026-09-01
100131,32,0,20,HR,Female,HR Manager,4,3614.39,1,5,0,11,0,2025-10-24,,2026-09-01
100132,35,0,20,Operations,Female,Coordinator,2,14349.63,0,5,5,19,1,2021-05-17,,2026-09-01
100133,57,0,5,Finance,Female,Accountant,1,8931.75,0,2,20,19,20,2006-07-05,,2026-09-01
100134,54,0,39,Finance,Male,Accountant,3,8723.97,0,4,17,22,12,2008-11-21,,2026-09-01
100135,28,0,1,Sales,Male,Sales Representative,5,8214.38,1,2,17,0,10,2008-09-26,,2026-09-01
100136,46,1,40,Sales,Female,Account Executive,1,3543.37,1,4,7,0,0,2018-11-03,2026-04-12,2026-09-01
100137,46,0,6,HR,Female,HR Specialist,1,12990.76,1,5,1,8,0,2025-02-22,,2026-09-01
100138,58,1,38,Finance,Male,Accountant,3,12328.66,1,1,13,22,2,2013-04-23,2026-04-25,2026-09-01
100139,27,0,1,Customer Support,Female,Support Lead,4,10091.1,0,3,20,24,0,2006-04-12,,2026-09-01
100140,46,0,8,Finance,Female,Accountant,2,11780.59,0,5,10,7,1,2015-09-13,,2026-09-01
100141,45,0,34,HR,Male,Recruiter,5,5980.59,0,3,11,15,6,2015-04-22,,2026-09-01
100142,63,0,23,Operations,Female,Coordinator,3,3285.46,0,4,12,14,8,2014-08-12,,2026-09-01
100143,33,0,14,Operations,Male,Operations Analyst,5,10176.07,0,3,18,14,2,2007-11-17,,2026-09-01
100144,38,0,4,Operations,Female,Operations Manager,2,4577.31,0,4,1,9,0,2025-06-17,,2026-09-01
100145,62,0,4,Engineering,Female,Data Analyst,1,7420.66,0,3,3,12,2,2023-06-10,,2026-09-01
100146,46,0,10,Customer Support,Female,Support Specialist,2,7276.73,1,1,8,4,3,2017-12-05,,2026-09-01
100147,30,1,10,Operations,Female,Coordinator,1,7990.58,0,1,17,2,11,2009-03-22,2026-05-05,2026-09-01
100148,57,0,11,Engineering,Female,Data Analyst,2,6102.79,0,1,14,24,1,2012-03-26,,2026-09-01
100149,23,0,39,HR,Male,Recruiter,1,11024.53,1,4,9,13,2,2017-04-30,,2026-09-01
100150,65,0,40,Sales,Female,Sales Representative,5,13304.36,0,1,13,5,8,2013-07-28,,2026-09-01
100151,22,0,32,Engineering,Female,QA Engineer,5,6263.97,0,3,4,21,3,2022-08-06,,2026-09-01
100152,22,0,38,Customer Support,Male,Support Lead,1,14448.93,0,4,11,7,5,2014-12-18,,2026-09-01
100153,49,1,16,HR,Male,HR Specialist,2,4292.44,0,4,14,16,11,2011-10-27,2026-08-29,2026-09-01
100154,43,0,5,Customer Support,Male,Support Specialist,4,13675.11,0,1,18,20,5,2008-05-21,,2026-09-01
100155,36,0,34,Engineering,Male,Software Engineer,5,3608.61,0,2,11,12,1,2015-07-26,,2026-09-01
100156,29,0,3,Finance,Male,Financial Analyst,4,6360.65,1,2,0,22,0,2025-10-06,,2026-09-01
100157,42,1,12,Finance,Female,Finance Manager,1,4514.94,1,3,4,23,1,2022-01-01,2026-04-20,2026-09-01
100158,29,0,2,Operations,Female,Operations Manager,3,11052.95,0,4,14,17,9,2012-03-23,,2026-09-01
100159,53,1,14,HR,Female,Recruiter,1,10050.66,1,5,3,19,2,2023-05-30,2026-08-07,2026-09-01
100160,28,1,15,HR,Female,Recruiter,4,4103.61,1,4,20,12,13,2006-08-08,2025-10-20,2026-09-01
100161,63,0,23,Customer Support,Female,Support Specialist,3,7567.01,0,2,1,9,0,2025-07-04,,2026-09-01
100162,51,0,9,Sales,Male,Account Executive,3,4043.32,1,3,14,6,11,2012-06-11,,2026-09-01
100163,59,0,36,Engineering,Male,Software Engineer,4,12782.58,1,5,19,19,2,2007-01-24,,2026-09-01
100164,27,0,5,Customer Support,Female,Support Lead,2,4711.98,0,5,4,9,1,2022-06-08,,2026-09-01
100165,41,0,18,Engineering,Male,Software Engineer,5,14043.22,0,3,17,16,10,2009-02-01,,2026-09-01
100166,24,1,18,HR,Male,Recruiter,3,7447.54,0,2,1,20,1,2025-07-12,2026-05-19,2026-09-01
100167,29,0,2,Engineering,Female,QA Engineer,4,4063.51,0,2,8,7,4,2018-04-26,,2026-09-01
100168,42,0,17,Sales,Male,Sales Representative,4,8292.0,1,5,7,11,0,2019-06-15,,2026-09-01
100169,43,0,24,HR,Male,HR Specialist,3,3336.83,1,5,10,7,9,2016-05-16,,2026-09-01
100170,39,0,5,Finance,Male,Finance Manager,5,10661.42,1,2,6,5,6,2020-08-05,,2026-09-01
100171,28,0,2,Engineering,Male,BI Developer,2,3317.83,0,4,7,13,0,2018-10-08,,2026-09-01
100172,30,0,12,Customer Support,Female,Customer Success Manager,3,14273.66,0,5,20,15,1,2006-03-22,,2026-09-01
100173,38,0,40,Engineering,Female,QA Engineer,3,9416.04,0,2,8,21,3,2018-04-02,,2026-09-01
100174,41,0,32,Operations,Male,Coordinator,1,6120.28,0,5,2,12,1,2024-05-03,,2026-09-01
100175,27,0,11,Customer Support,Female,Support Lead,3,6243.44,0,5,11,17,1,2015-01-21,,2026-09-01
100176,51,0,13,Operations,Male,Coordinator,3,11767.49,1,3,14,21,2,2012-06-06,,2026-09-01
100177,45,1,8,Operations,Female,Coordinator,2,9505.88,1,4,4,4,2,2022-05-14,2026-05-20,2026-09-01
100178,63,0,39,Sales,Male,Sales Manager,3,5324.68,0,5,9,8,3,2016-11-04,,2026-09-01
100179,32,0,34,Sales,Female,Sales Manager,5,7357.73,0,3,16,22,5,2010-08-19,,2026-09-01
100180,24,0,35,Sales,Male,Sales Representative,2,7624.24,0,5,19,9,5,2007-08-09,,2026-09-01
100181,40,0,7,Engineering,Male,Software Engineer,4,8964.24,1,5,16,15,3,2010-05-06,,2026-09-01
100182,38,0,19,Sales,Male,Sales Manager,1,10392.34,0,5,18,11,5,2008-03-27,,2026-09-01
100183,56,1,33,Finance,Female,Financial Analyst,2,7397.07,0,4,16,14,10,2010-03-03,2026-05-06,2026-09-01
100184,26,0,27,Engineering,Male,Software Engineer,4,7537.31,0,5,3,24,3,2023-04-07,,2026-09-01
100185,63,0,6,Finance,Female,Financial Analyst,1,13704.67,1,3,16,9,2,2009-09-17,,2026-09-01
100186,57,1,21,HR,Male,HR Specialist,2,13792.09,1,2,19,3,6,2007-07-15,2026-04-25,2026-09-01
100187,26,0,31,Engineering,Female,QA Engineer,4,10623.59,1,4,8,9,5,2018-03-04,,2026-09-01
100188,30,0,31,Operations,Male,Operations Manager,2,12746.12,0,1,15,12,3,2011-03-04,,2026-09-01
100189,63,1,33,Sales,Male,Sales Manager,3,7124.98,1,2,20,23,10,2006-02-18,2026-04-11,2026-09-01
100190,46,0,37,HR,Female,Recruiter,2,14268.92,0,2,11,4,7,2015-04-13,,2026-09-01
100191,32,0,4,Engineering,Male,Software Engineer,2,4203.89,0,1,8,16,7,2018-03-25,,2026-09-01
100192,63,0,17,Operations,Male,Operations Manager,2,4123.5,0,1,8,9,4,2018-06-08,,2026-09-01
100193,30,0,39,Engineering,Female,Data Analyst,4,3903.69,0,4,1,9,0,2025-04-11,,2026-09-01
100194,52,0,20,Engineering,Male,QA Engineer,2,6931.43,1,5,6,14,5,2019-11-30,,2026-09-01
100195,61,0,28,Finance,Male,Financial Analyst,2,9505.18,0,3,7,7,3,2019-07-06,,2026-09-01
100196,59,0,25,Finance,Male,Accountant,3,7498.75,1,3,19,10,11,2006-11-27,,2026-09-01
100197,56,1,8,Operations,Male,Operations Analyst,1,7674.47,1,2,4,9,3,2022-06-09,2025-12-07,2026-09-01
100198,23,0,40,Finance,Male,Financial Analyst,1,9958.67,0,5,17,15,10,2008-09-04,,2026-09-01
100199,39,0,11,Customer Support,Male,Support Lead,1,7920.7,1,5,8,12,1,2018-08-21,,2026-09-01
100200,47,0,3,Sales,Female,Sales Representative,1,3531.81,1,2,4,4,2,2022-08-08,,2026-09-01
100201,58,0,19,Engineering,Male,QA Engineer,4,6752.16,0,4,17,11,8,2009-04-21,,2026-09-01
100202,32,0,28,Customer Support,Male,Customer Success Manager,2,4337.2,0,4,15,1,8,2010-11-29,,2026-09-01
100203,43,0,17,Sales,Male,Sales Representative,5,12310.01,1,3,15,2,0,2011-04-05,,2026-09-01
100204,55,0,28,Sales,Male,Sales Manager,1,10604.69,1,3,7,3,1,2018-12-28,,2026-09-01
100205,34,0,9,HR,Female,HR Manager,3,3867.76,1,3,3,0,1,2023-07-25,,2026-09-01
100206,54,0,14,Finance,Female,Finance Manager,4,7512.21,0,3,13,13,10,2013-07-26,,2026-09-01
100207,58,1,3,Customer Support,Male,Support Lead,2,11102.26,1,5,15,6,13,2011-06-11,2025-12-24,2026-09-01
100208,39,0,38,Engineering,Male,QA Engineer,5,9309.89,0,1,14,0,7,2012-05-05,,2026-09-01
100209,55,0,30,Finance,Female,Financial Analyst,1,3744.01,1,2,8,8,5,2017-10-03,,2026-09-01
100210,50,0,11,HR,Female,Recruiter,2,9678.85,0,4,11,4,2,2015-07-29,,2026-09-01
100211,29,0,17,HR,Male,HR Specialist,2,13132.46,0,5,3,22,2,2023-07-29,,2026-09-01
100212,35,0,26,Operations,Female,Operations Manager,4,8210.19,0,3,8,5,3,2018-04-08,,2026-09-01
100213,27,0,3,Operations,Male,Coordinator,4,13941.0,0,1,3,0,3,2023-06-18,,2026-09-01
100214,38,0,12,Customer Support,Male,Support Specialist,2,13453.4,0,2,16,0,12,2010-07-03,,2026-09-01
100215,65,0,13,Customer Support,Female,Customer Success Manager,5,3262.22,0,3,19,19,0,2006-10-25,,2026-09-01
100216,62,0,9,HR,Female,HR Specialist,5,6415.55,1,5,10,18,10,2015-10-28,,2026-09-01
100217,39,0,1,HR,Female,HR Manager,4,11447.42,1,5,10,20,0,2015-10-05,,2026-09-01
100218,25,0,27,Operations,Male,Operations Manager,5,12574.34,0,4,7,17,1,2019-04-02,,2026-09-01
100219,56,1,28,Engineering,Female,BI Developer,4,13373.63,0,3,17,14,8,2009-04-08,2025-11-20,2026-09-01
100220,31,0,14,Sales,Female,Sales Manager,2,4769.25,0,4,12,2,3,2013-12-10,,2026-09-01
100221,58,0,40,Sales,Female,Account Executive,2,3332.28,0,3,2,10,0,2023-09-18,,2026-09-01
100222,41,0,31,Sales,Female,Account Executive,1,11439.66,0,4,16,20,10,2010-04-28,,2026-09-01
100223,29,0,30,HR,Female,HR Manager,4,5756.95,0,3,20,11,14,2006-05-03,,2026-09-01
100224,56,1,34,Finance,Female,Accountant,4,8064.98,0,1,0,0,0,2026-03-19,2025-11-30,2026-09-01
100225,48,0,11,Sales,Male,Sales Manager,1,4344.24,1,2,2,15,1,2024-04-29,,2026-09-01
100226,25,0,4,Engineering,Female,Software Engineer,2,3640.65,0,3,2,9,2,2024-06-19,,2026-09-01
100227,50,1,37,HR,Female,HR Manager,2,7435.28,0,4,9,17,8,2017-05-03,2026-06-16,2026-09-01
100228,65,0,4,Customer Support,Female,Support Specialist,5,4941.84,0,2,15,12,5,2010-11-28,,2026-09-01
100229,62,0,21,Finance,Male,Finance Manager,4,5855.92,1,4,1,18,0,2025-05-16,,2026-09-01
100230,33,0,11,HR,Male,HR Manager,4,7740.1,1,4,14,17,7,2011-09-14,,2026-09-01
100231,57,0,8,Sales,Female,Sales Representative,4,12833.9,1,3,6,20,1,2019-09-27,,2026-09-01
100232,41,0,17,Operations,Male,Operations Manager,4,8474.64,0,1,10,18,2,2016-08-28,,2026-09-01
100233,56,1,33,Operations,Male,Operations Manager,3,8977.41,0,2,5,16,2,2021-06-19,2026-01-25,2026-09-01
100234,24,1,35,Operations,Female,Coordinator,1,3872.03,0,1,6,16,0,2019-09-03,2026-04-07,2026-09-01
100235,25,0,31,Customer Support,Male,Customer Success Manager,2,8588.33,0,3,12,2,5,2014-02-25,,2026-09-01
100236,36,0,24,Customer Support,Female,Support Specialist,3,5580.97,1,3,11,18,1,2015-02-20,,2026-09-01
100237,23,0,25,Customer Support,Male,Customer Success Manager,5,11567.38,0,5,0,8,0,2025-11-14,,2026-09-01
100238,60,0,14,Finance,Female,Accountant,4,7800.3,0,3,8,7,2,2017-11-16,,2026-09-01
100239,65,0,38,HR,Male,Recruiter,2,4068.54,0,2,18,15,5,2008-05-02,,2026-09-01
100240,51,0,3,Sales,Female,Account Executive,3,3448.9,0,1,1,16,0,2024-11-11,,2026-09-01
100241,39,0,23,HR,Male,HR Manager,2,9820.27,0,4,16,19,13,2010-03-03,,2026-09-01
100242,44,0,30,Operations,Male,Operations Analyst,4,4814.5,1,2,14,11,6,2012-08-11,,2026-09-01
100243,31,0,15,Sales,Female,Sales Manager,1,3201.52,0,2,8,17,5,2018-02-10,,2026-09-01
100244,26,1,29,Sales,Male,Account Executive,4,4351.38,0,3,4,8,2,2021-10-17,2026-05-24,2026-09-01
100245,39,0,12,Finance,Female,Financial Analyst,3,4208.97,0,2,16,0,9,2010-02-16,,2026-09-01
