EmployeeKey,AttritionProbability,RiskBand,RecommendedAction
100216,0.2104,Low,Career path / promotion review
100217,0.0986,Low,Retention conversation / stay interview
100218,0.0804,Low,Flexible or hybrid work option
100219,0.1119,Low,Career path / promotion review
100220,0.1439,Low,Compensation benchmarking review
100221,0.3318,Low,Flexible or hybrid work option
100222,0.3072,Low,Career path / promotion review
100223,0.1896,Low,Career path / promotion review
100224,0.1792,Low,Flexible or hybrid work option
100225,0.4206,Medium,Manager check-in + workload review
100226,0.1639,Low,Compensation benchmarking review
100227,0.3491,Low,Career path / promotion review
100228,0.0484,Low,Career path / promotion review
100229,0.2698,Low,Flexible or hybrid work option
100230,0.1912,Low,Career path / promotion review
100231,0.1462,Low,Retention conversation / stay interview
100232,0.0844,Low,Retention conversation / stay interview
100233,0.2027,Low,Flexible or hybrid work option
100234,0.3173,Low,Flexible or hybrid work option
100235,0.2266,Low,Career path / promotion review
100236,0.2655,Low,Flexible or hybrid work option
100237,0.1,Low,Flexible or hybrid work option
100238,0.0867,Low,Retention conversation / stay interview
100239,0.2347,Low,Career path / promotion review
100240,0.1127,Low,Compensation benchmarking review
100241,0.2564,Low,Career path / promotion review
100242,0.2964,Low,Career path / promotion review
100243,0.26,Low,Career path / promotion review
100244,0.1679,Low,Flexible or hybrid work option
100245,0.1363,Low,Career path / promotion review
100246,0.3881,Low,Manager check-in + workload review
100247,0.2835,Low,Career path / promotion review
100248,0.2733,Low,Career path / promotion review
100249,0.0656,Low,Career path / promotion review
100250,0.1436,Low,Career path / promotion review
100251,0.2095,Low,Career path / promotion review
100252,0.542,Medium,Manager check-in + workload review
100253,0.0783,Low,Flexible or hybrid work option
100254,0.2251,Low,Career path / promotion review
100255,0.2585,Low,Flexible or hybrid work option
100256,0.2158,Low,Career path / promotion review
100257,0.0904,Low,Retention conversation / stay interview
100258,0.2949,Low,Career path / promotion review
100259,0.2048,Low,Career path / promotion review
100260,0.0724,Low,Retention conversation / stay interview
100261,0.3423,Low,Career path / promotion review
100262,0.1362,Low,Retention conversation / stay interview
100263,0.0928,Low,Career path / promotion review
100264,0.1839,Low,Career path / promotion review
100265,0.1291,Low,Career path / promotion review
100266,0.3007,Low,Flexible or hybrid work option
100267,0.0659,Low,Retention conversation / stay interview
100268,0.4599,Medium,Manager check-in + workload review
100269,0.113,Low,Retention conversation / stay interview
100270,0.1951,Low,Career path / promotion review
100271,0.1428,Low,Flexible or hybrid work option
100272,0.107,Low,Flexible or hybrid work option
100273,0.0788,Low,Retention conversation / stay interview
100274,0.2355,Low,Flexible or hybrid work option
100275,0.326,Low,Career path / promotion review
100276,0.1031,Low,Flexible or hybrid work option
100277,0.1348,Low,Career path / promotion review
100278,0.0875,Low,Retention conversation / stay interview
100279,0.2082,Low,Career path / promotion review
100280,0.2332,Low,Flexible or hybrid work option
100281,0.2361,Low,Retention conversation / stay interview
100282,0.2413,Low,Career path / promotion review
100283,0.1295,Low,Career path / promotion review
100284,0.4588,Medium,Manager check-in + workload review
100285,0.1419,Low,Flexible or hybrid work option
100286,0.2176,Low,Flexible or hybrid work option
100287,0.2687,Low,Flexible or hybrid work option
100288,0.1934,Low,Retention conversation / stay interview
100289,0.2429,Low,Manager check-in + workload review
100290,0.5903,Medium,Manager check-in + workload review
100291,0.1214,Low,Compensation benchmarking review
100292,0.1557,Low,Career path / promotion review
100293,0.1912,Low,Retention conversation / stay interview
100294,0.0951,Low,Career path / promotion review
100295,0.623,Medium,Manager check-in + workload review
100296,0.2468,Low,Career path / promotion review
100297,0.0932,Low,Retention conversation / stay interview
100298,0.0551,Low,Career path / promotion review
100299,0.2657,Low,Career path / promotion review
100300,0.1084,Low,Retention conversation / stay interview
100301,0.1978,Low,Flexible or hybrid work option
100302,0.2625,Low,Career path / promotion review
100303,0.1995,Low,Flexible or hybrid work option
100304,0.2542,Low,Career path / promotion review
100305,0.3955,Low,Manager check-in + workload review
100306,0.3886,Low,Manager check-in + workload review
100307,0.0924,Low,Retention conversation / stay interview
100308,0.1504,Low,Career path / promotion review
100309,0.1088,Low,Flexible or hybrid work option
100310,0.2076,Low,Compensation benchmarking review
100311,0.3526,Low,Career path / promotion review
100312,0.3378,Low,Career path / promotion review
100313,0.4151,Medium,Career path / promotion review
100314,0.2711,Low,Career path / promotion review
100315,0.1071,Low,Flexible or hybrid work option
100316,0.1433,Low,Career path / promotion review
100317,0.0937,Low,Flexible or hybrid work option
100318,0.1501,Low,Career path / promotion review
100319,0.4087,Medium,Career path / promotion review
100320,0.1388,Low,Flexible or hybrid work option
100321,0.4047,Medium,Flexible or hybrid work option
100322,0.1134,Low,Retention conversation / stay interview
100323,0.1125,Low,Career path / promotion review
100324,0.0543,Low,Retention conversation / stay interview
100325,0.2804,Low,Career path / promotion review
100326,0.1134,Low,Flexible or hybrid work option
100327,0.1362,Low,Flexible or hybrid work option
100328,0.1304,Low,Flexible or hybrid work option
100329,0.3877,Low,Career path / promotion review
100330,0.3497,Low,Career path / promotion review
100331,0.1603,Low,Flexible or hybrid work option
100332,0.2064,Low,Career path / promotion review
100333,0.2278,Low,Career path / promotion review
100334,0.1078,Low,Retention conversation / stay interview
100335,0.2859,Low,Career path / promotion review
100336,0.4349,Medium,Career path / promotion review
100337,0.3443,Low,Flexible or hybrid work option
100338,0.407,Medium,Career path / promotion review
100339,0.461,Medium,Manager check-in + workload review
100340,0.4342,Medium,Manager check-in + workload review
100341,0.3718,Low,Career path / promotion review
100342,0.0798,Low,Career path / promotion review
100343,0.2292,Low,Career path / promotion review
100344,0.4393,Medium,Manager check-in + workload review
100345,0.1663,Low,Career path / promotion review
100346,0.193,Low,Flexible or hybrid work option
100347,0.5309,Medium,Manager check-in + workload review
100348,0.0767,Low,Career path / promotion review
100349,0.0909,Low,Retention conversation / stay interview
100350,0.0515,Low,Retention conversation / stay interview
100351,0.1145,Low,Career path / promotion review
100352,0.1253,Low,Flexible or hybrid work option
100353,0.1255,Low,Career path / promotion review
100354,0.1727,Low,Flexible or hybrid work option
100355,0.1959,Low,Flexible or hybrid work option
100356,0.502,Medium,Manager check-in + workload review
100357,0.0878,Low,Career path / promotion review
100358,0.2145,Low,Career path / promotion review
100359,0.0877,Low,Retention conversation / stay interview
100360,0.448,Medium,Manager check-in + workload review
100361,0.2658,Low,Career path / promotion review
100362,0.1673,Low,Career path / promotion review
100363,0.3657,Low,Manager check-in + workload review
100364,0.1881,Low,Flexible or hybrid work option
100365,0.1145,Low,Career path / promotion review
100366,0.0487,Low,Career path / promotion review
100367,0.1351,Low,Career path / promotion review
100368,0.2883,Low,Flexible or hybrid work option
100369,0.1483,Low,Compensation benchmarking review
100370,0.2889,Low,Career path / promotion review
100371,0.0689,Low,Retention conversation / stay interview
100372,0.1945,Low,Career path / promotion review
100373,0.1817,Low,Flexible or hybrid work option
100374,0.2024,Low,Career path / promotion review
100375,0.2528,Low,Career path / promotion review
100376,0.1108,Low,Flexible or hybrid work option
100377,0.3536,Low,Career path / promotion review
100378,0.145,Low,Retention conversation / stay interview
100379,0.1076,Low,Flexible or hybrid work option
100380,0.0769,Low,Retention conversation / stay interview
100381,0.5651,Medium,Manager check-in + workload review
100382,0.2701,Low,Career path / promotion review
100383,0.1161,Low,Flexible or hybrid work option
100384,0.2685,Low,Career path / promotion review
100385,0.2629,Low,Flexible or hybrid work option
100386,0.1141,Low,Career path / promotion review
100387,0.0558,Low,Career path / promotion review
100388,0.1643,Low,Flexible or hybrid work option
100389,0.3126,Low,Flexible or hybrid work option
100390,0.0801,Low,Flexible or hybrid work option
100391,0.1254,Low,Flexible or hybrid work option
100392,0.0695,Low,Career path / promotion review
100393,0.3143,Low,Career path / promotion review
100394,0.2184,Low,Flexible or hybrid work option
100395,0.2586,Low,Manager check-in + workload review
100396,0.069,Low,Career path / promotion review
100397,0.4703,Medium,Career path / promotion review
100398,0.3241,Low,Career path / promotion review
100399,0.0661,Low,Career path / promotion review
100400,0.1762,Low,Career path / promotion review
100401,0.166,Low,Flexible or hybrid work option
100402,0.0869,Low,Retention conversation / stay interview
100403,0.0997,Low,Retention conversation / stay interview
100404,0.0943,Low,Flexible or hybrid work option
100405,0.2403,Low,Retention conversation / stay interview
100406,0.1265,Low,Retention conversation / stay interview
100407,0.3013,Low,Career path / promotion review
100408,0.0614,Low,Flexible or hybrid work option
100409,0.0451,Low,Career path / promotion review
100410,0.1948,Low,Flexible or hybrid work option
100411,0.4586,Medium,Manager check-in + workload review
100412,0.1966,Low,Career path / promotion review
100413,0.1501,Low,Career path / promotion review
100414,0.0772,Low,Retention conversation / stay interview
100415,0.1206,Low,Career path / promotion review
100416,0.3345,Low,Career path / promotion review
100417,0.3445,Low,Manager check-in + workload review
100418,0.3212,Low,Career path / promotion review
100419,0.2366,Low,Career path / promotion review
100420,0.1252,Low,Career path / promotion review
100421,0.195,Low,Flexible or hybrid work option
100422,0.4543,Medium,Career path / promotion review
100423,0.3318,Low,Flexible or hybrid work option
100424,0.2935,Low,Flexible or hybrid work option
100425,0.2901,Low,Retention conversation / stay interview
100426,0.132,Low,Retention conversation / stay interview
100427,0.1016,Low,Career path / promotion review
100428,0.1231,Low,Career path / promotion review
100429,0.413,Medium,Manager check-in + workload review
100430,0.2669,Low,Career path / promotion review
100431,0.3329,Low,Career path / promotion review
100432,0.3447,Low,Flexible or hybrid work option
100433,0.0408,Low,Retention conversation / stay interview
100434,0.1089,Low,Retention conversation / stay interview
100435,0.2114,Low,Flexible or hybrid work option
100436,0.2789,Low,Career path / promotion review
100437,0.0814,Low,Flexible or hybrid work option
100438,0.0782,Low,Compensation benchmarking review
100439,0.3753,Low,Career path / promotion review
100440,0.154,Low,Retention conversation / stay interview
100441,0.3052,Low,Flexible or hybrid work option
100442,0.2315,Low,Flexible or hybrid work option
100443,0.1954,Low,Career path / promotion review
100444,0.1875,Low,Retention conversation / stay interview
100445,0.3857,Low,Manager check-in + workload review
100446,0.3026,Low,Career path / promotion review
100447,0.3447,Low,Manager check-in + workload review
100448,0.1632,Low,Career path / promotion review
100449,0.2889,Low,Compensation benchmarking review
100450,0.139,Low,Retention conversation / stay interview
100451,0.0942,Low,Career path / promotion review
100452,0.3025,Low,Flexible or hybrid work option
100453,0.1551,Low,Compensation benchmarking review
100454,0.2596,Low,Manager check-in + workload review
100455,0.1966,Low,Career path / promotion review
100456,0.1552,Low,Career path / promotion review
100457,0.6756,High,Manager check-in + workload review
100458,0.0713,Low,Flexible or hybrid work option
100459,0.2699,Low,Career path / promotion review
100460,0.1828,Low,Retention conversation / stay interview
100461,0.2636,Low,Retention conversation / stay interview
100462,0.1073,Low,Career path / promotion review
100463,0.265,Low,Career path / promotion review
100464,0.2356,Low,Career path / promotion review
100465,0.0944,Low,Retention conversation / stay interview
100466,0.2532,Low,Career path / promotion review
100467,0.5222,Medium,Career path / promotion review
100468,0.2154,Low,Career path / promotion review
100469,0.062,Low,Compensation benchmarking review
100470,0.1802,Low,Career path / promotion review
100471,0.201,Low,Retention conversation / stay interview
100472,0.1443,Low,Retention conversation / stay interview
100473,0.1002,Low,Flexible or hybrid work option
100474,0.3563,Low,Career path / promotion review
100475,0.1818,Low,Career path / promotion review
100476,0.0688,Low,Career path / promotion review
100477,0.1111,Low,Retention conversation / stay interview
100478,0.1071,Low,Career path / promotion review
100479,0.093,Low,Career path / promotion review
100480,0.1558,Low,Career path / promotion review
100481,0.2303,Low,Career path / promotion review
100482,0.1245,Low,Retention conversation / stay interview
100483,0.1422,Low,Retention conversation / stay interview
100484,0.1612,Low,Career path / promotion review
100485,0.1903,Low,Career path / promotion review
100486,0.1374,Low,Retention conversation / stay interview
100487,0.1163,Low,Career path / promotion review
100488,0.1012,Low,Career path / promotion review
100489,0.0758,Low,Retention conversation / stay interview
100490,0.21,Low,Career path / promotion review
100491,0.1545,Low,Career path / promotion review
100492,0.1454,Low,Retention conversation / stay interview
100493,0.1436,Low,Flexible or hybrid work option
100494,0.0939,Low,Retention conversation / stay interview
100495,0.2535,Low,Career path / promotion review
100496,0.3008,Low,Career path / promotion review
100497,0.2963,Low,Career path / promotion review
100498,0.0611,Low,Retention conversation / stay interview
100499,0.1318,Low,Retention conversation / stay interview
100500,0.1977,Low,Flexible or hybrid work option
100501,0.1208,Low,Flexible or hybrid work option
100502,0.3521,Low,Career path / promotion review
100503,0.3251,Low,Flexible or hybrid work option
100504,0.0871,Low,Flexible or hybrid work option
100505,0.2871,Low,Flexible or hybrid work option
100506,0.0954,Low,Retention conversation / stay interview
100507,0.2407,Low,Flexible or hybrid work option
100508,0.0465,Low,Career path / promotion review
100509,0.0877,Low,Career path / promotion review
100510,0.0602,Low,Retention conversation / stay interview
100511,0.1974,Low,Career path / promotion review
100512,0.1455,Low,Retention conversation / stay interview
100513,0.0946,Low,Career path / promotion review
100514,0.1476,Low,Career path / promotion review
100515,0.2661,Low,Flexible or hybrid work option
100516,0.2133,Low,Flexible or hybrid work option
100517,0.055,Low,Retention conversation / stay interview
100518,0.1665,Low,Career path / promotion review
100519,0.1147,Low,Flexible or hybrid work option
100520,0.5626,Medium,Manager check-in + workload review
100521,0.0981,Low,Career path / promotion review
100522,0.1252,Low,Career path / promotion review
100523,0.1314,Low,Career path / promotion review
100524,0.1811,Low,Career path / promotion review
100525,0.1596,Low,Career path / promotion review
100526,0.3228,Low,Flexible or hybrid work option
100527,0.427,Medium,Career path / promotion review
100528,0.2176,Low,Career path / promotion review
100529,0.2051,Low,Flexible or hybrid work option
100530,0.1276,Low,Career path / promotion review
100531,0.1433,Low,Career path / promotion review
100532,0.1764,Low,Career path / promotion review
100533,0.1198,Low,Flexible or hybrid work option
100534,0.2506,Low,Career path / promotion review
100535,0.1901,Low,Career path / promotion review
100536,0.5477,Medium,Manager check-in + workload review
100537,0.0704,Low,Retention conversation / stay interview
100538,0.2146,Low,Compensation benchmarking review
100539,0.1068,Low,Retention conversation / stay interview
100540,0.4444,Medium,Manager check-in + workload review
100541,0.2894,Low,Manager check-in + workload review
100542,0.1776,Low,Career path / promotion review
100543,0.0804,Low,Compensation benchmarking review
100544,0.2947,Low,Career path / promotion review
100545,0.3772,Low,Career path / promotion review
100546,0.2971,Low,Career path / promotion review
100547,0.2004,Low,Career path / promotion review
100548,0.085,Low,Compensation benchmarking review
100549,0.3191,Low,Manager check-in + workload review
100550,0.1786,Low,Flexible or hybrid work option
100551,0.0732,Low,Career path / promotion review
100552,0.156,Low,Career path / promotion review
100553,0.1385,Low,Retention conversation / stay interview
100554,0.4155,Medium,Manager check-in + workload review
100555,0.3085,Low,Flexible or hybrid work option
100556,0.3078,Low,Flexible or hybrid work option
100557,0.0942,Low,Career path / promotion review
100558,0.4621,Medium,Manager check-in + workload review
100559,0.0727,Low,Retention conversation / stay interview
100560,0.2254,Low,Career path / promotion review
100561,0.4594,Medium,Manager check-in + workload review
100562,0.2384,Low,Career path / promotion review
100563,0.4653,Medium,Manager check-in + workload review
100564,0.3116,Low,Career path / promotion review
100565,0.1581,Low,Manager check-in + workload review
100566,0.2744,Low,Flexible or hybrid work option
100567,0.1726,Low,Career path / promotion review
100568,0.1286,Low,Flexible or hybrid work option
100569,0.1775,Low,Flexible or hybrid work option
100570,0.0676,Low,Career path / promotion review
100571,0.1608,Low,Career path / promotion review
100572,0.2253,Low,Retention conversation / stay interview
100573,0.3257,Low,Manager check-in + workload review
100574,0.1807,Low,Career path / promotion review
100575,0.094,Low,Flexible or hybrid work option
100576,0.1842,Low,Retention conversation / stay interview
100577,0.2183,Low,Career path / promotion review
100578,0.3807,Low,Career path / promotion review
100579,0.1535,Low,Career path / promotion review
100580,0.0816,Low,Retention conversation / stay interview
100581,0.2252,Low,Flexible or hybrid work option
100582,0.0961,Low,Retention conversation / stay interview
100583,0.3359,Low,Career path / promotion review
100584,0.1232,Low,Retention conversation / stay interview
100585,0.0494,Low,Retention conversation / stay interview
100586,0.2378,Low,Career path / promotion review
100587,0.1619,Low,Flexible or hybrid work option
100588,0.3512,Low,Career path / promotion review
100589,0.0644,Low,Flexible or hybrid work option
100590,0.103,Low,Career path / promotion review
100591,0.3774,Low,Flexible or hybrid work option
100592,0.2133,Low,Career path / promotion review
100593,0.4271,Medium,Career path / promotion review
100594,0.2821,Low,Career path / promotion review
100595,0.2784,Low,Career path / promotion review
100596,0.1104,Low,Flexible or hybrid work option
100597,0.1907,Low,Career path / promotion review
100598,0.3154,Low,Career path / promotion review
100599,0.0825,Low,Career path / promotion review
100600,0.1586,Low,Retention conversation / stay interview
100601,0.1015,Low,Retention conversation / stay interview
100602,0.0929,Low,Retention conversation / stay interview
100603,0.1992,Low,Career path / promotion review
100604,0.4006,Medium,Manager check-in + workload review
100605,0.0637,Low,Career path / promotion review
100606,0.2993,Low,Flexible or hybrid work option
100607,0.2407,Low,Compensation benchmarking review
100608,0.0713,Low,Career path / promotion review
100609,0.1636,Low,Flexible or hybrid work option
100610,0.2542,Low,Flexible or hybrid work option
100611,0.2842,Low,Career path / promotion review
100612,0.2116,Low,Flexible or hybrid work option
100613,0.1633,Low,Retention conversation / stay interview
100614,0.1805,Low,Career path / promotion review
100615,0.2207,Low,Retention conversation / stay interview
100616,0.0652,Low,Career path / promotion review
100617,0.0654,Low,Retention conversation / stay interview
100618,0.2473,Low,Career path / promotion review
100619,0.0832,Low,Retention conversation / stay interview
100620,0.1889,Low,Career path / promotion review
100621,0.1826,Low,Flexible or hybrid work option
100622,0.1133,Low,Career path / promotion review
100623,0.1223,Low,Retention conversation / stay interview
100624,0.1969,Low,Retention conversation / stay interview
100625,0.5041,Medium,Manager check-in + workload review
100626,0.3197,Low,Manager check-in + workload review
100627,0.1184,Low,Flexible or hybrid work option
100628,0.1305,Low,Flexible or hybrid work option
100629,0.1687,Low,Retention conversation / stay interview
100630,0.4022,Medium,Manager check-in + workload review
100631,0.2081,Low,Career path / promotion review
100632,0.2582,Low,Career path / promotion review
100633,0.1521,Low,Career path / promotion review
100634,0.1432,Low,Career path / promotion review
100635,0.0956,Low,Career path / promotion review
100636,0.2626,Low,Flexible or hybrid work option
100637,0.1086,Low,Retention conversation / stay interview
100638,0.5474,Medium,Manager check-in + workload review
100639,0.3636,Low,Career path / promotion review
100640,0.1175,Low,Flexible or hybrid work option
100641,0.1891,Low,Career path / promotion review
100642,0.065,Low,Retention conversation / stay interview
100643,0.1186,Low,Retention conversation / stay interview
100644,0.0915,Low,Retention conversation / stay interview
100645,0.1915,Low,Career path / promotion review
100646,0.2343,Low,Career path / promotion review
100647,0.267,Low,Career path / promotion review
