CustomerID,SignupDate,Region,CustomerSegment,ContractType,InternetService,PaymentMethod,TenureMonths,MonthlyCharges,SupportTickets90D,LatePayments12M,PaperlessBilling,StreamingService,TechSupport,SeniorCitizen,Dependents,Partner,ChurnProbability,ChurnFlag,RecommendedAction
100059,2023-08-04,West,Consumer,Month-to-Month,None,Bank Transfer,69,114.39,0,0,1,1,1,1,0,0,0.5352,1,Monitor account / standard nurture
100060,2023-07-15,North,SMB,Two Year,Fiber,Credit Card,37,34.34,2,1,1,1,0,0,1,1,0.2658,0,Monitor account / standard nurture
100061,2024-12-20,East,Consumer,One Year,Fiber,Credit Card,40,81.35,1,1,1,1,0,0,1,1,0.5211,0,Monitor account / standard nurture
100062,2022-08-29,North,Consumer,One Year,Fiber,Electronic Check,36,113.56,1,1,1,1,1,1,1,0,0.7845,1,Offer targeted discount review
100063,2022-10-09,South,SMB,Month-to-Month,Fiber,Electronic Check,28,103.12,2,1,1,1,1,0,1,1,0.8829,0,Offer contract upgrade incentive
100064,2022-06-01,West,Consumer,Two Year,DSL,Credit Card,41,91.63,3,0,0,1,0,0,0,0,0.4719,1,Monitor account / standard nurture
100065,2023-12-23,East,Consumer,Month-to-Month,Fiber,Bank Transfer,31,96.04,1,0,1,1,1,0,1,1,0.702,1,Offer targeted discount review
100066,2024-06-29,North,Consumer,One Year,DSL,Electronic Check,45,91.07,3,0,0,1,1,1,0,1,0.6432,1,Offer targeted discount review
100067,2023-11-30,West,Consumer,Month-to-Month,Fiber,Electronic Check,29,120.18,2,0,1,0,0,0,1,0,0.9157,1,Offer contract upgrade incentive
100068,2020-08-14,West,Enterprise,Two Year,Fiber,Credit Card,22,102.38,0,0,1,0,1,0,0,1,0.3587,1,Monitor account / standard nurture
100069,2019-03-25,South,Consumer,One Year,DSL,Mailed Check,25,29.3,2,1,1,1,1,0,1,1,0.4103,0,Monitor account / standard nurture
100070,2022-12-17,East,SMB,Month-to-Month,DSL,Electronic Check,53,123.81,2,1,1,0,1,1,1,1,0.8535,1,Offer contract upgrade incentive
100071,2020-07-06,East,SMB,Month-to-Month,DSL,Mailed Check,70,102.05,3,0,1,0,0,0,1,1,0.6893,1,Provide free tech support retention offer
100072,2021-07-29,West,SMB,Two Year,Fiber,Credit Card,25,52.45,2,1,0,0,0,1,1,0,0.4095,1,Monitor account / standard nurture
100073,2022-11-03,West,Consumer,Month-to-Month,DSL,Electronic Check,22,74.46,1,1,1,1,0,0,0,1,0.837,1,Offer contract upgrade incentive
100074,2024-10-31,South,Consumer,Month-to-Month,DSL,Credit Card,18,118.26,1,2,1,0,0,1,1,0,0.9178,1,Offer contract upgrade incentive
100075,2019-04-16,West,Consumer,Month-to-Month,Fiber,Mailed Check,49,36.43,2,0,1,0,1,0,0,0,0.5493,1,Monitor account / standard nurture
100076,2022-05-04,North,Consumer,One Year,Fiber,Electronic Check,27,131.71,2,0,1,1,1,0,1,1,0.8201,1,Offer targeted discount review
100077,2020-02-23,North,SMB,Two Year,Fiber,Credit Card,9,20.92,2,1,1,1,0,1,0,1,0.4155,1,Monitor account / standard nurture
100078,2022-02-09,South,SMB,Two Year,DSL,Electronic Check,27,99.18,1,0,1,1,0,1,1,0,0.5723,0,Offer targeted discount review
100079,2024-03-06,South,Consumer,Month-to-Month,DSL,Mailed Check,21,28.31,1,2,0,0,0,0,0,0,0.7084,0,Apply billing outreach and payment plan
100080,2019-05-02,West,Consumer,Two Year,DSL,Bank Transfer,21,33.52,3,3,1,1,0,0,0,1,0.6014,0,Provide free tech support retention offer
100081,2025-11-24,South,Consumer,Month-to-Month,Fiber,Credit Card,15,126.97,0,2,1,0,1,0,1,1,0.8924,0,Offer contract upgrade incentive
100082,2025-02-14,South,Consumer,Month-to-Month,None,Electronic Check,66,82.04,2,3,1,1,1,0,1,0,0.7949,0,Offer contract upgrade incentive
100083,2022-05-22,South,SMB,Month-to-Month,None,Credit Card,55,89.08,3,1,1,1,0,0,0,0,0.7509,1,Offer contract upgrade incentive
100084,2023-03-30,West,Consumer,One Year,Fiber,Electronic Check,4,29.54,2,0,0,1,1,0,1,0,0.5309,1,Monitor account / standard nurture
100085,2023-06-17,North,Consumer,Month-to-Month,Fiber,Bank Transfer,58,44.24,0,1,0,0,0,0,0,1,0.399,1,Monitor account / standard nurture
100086,2024-01-11,South,Consumer,Month-to-Month,Fiber,Electronic Check,64,28.49,4,0,1,0,0,0,0,1,0.6422,0,Provide free tech support retention offer
100087,2025-10-01,West,Consumer,Month-to-Month,Fiber,Electronic Check,64,89.85,2,0,1,1,0,0,1,1,0.721,1,Provide free tech support retention offer
100088,2025-03-04,West,SMB,Two Year,DSL,Bank Transfer,46,114.85,0,0,1,0,0,0,1,0,0.333,0,Monitor account / standard nurture
100089,2020-08-11,South,Consumer,Month-to-Month,DSL,Credit Card,42,38.36,1,0,1,0,0,0,1,0,0.4125,0,Monitor account / standard nurture
100090,2019-10-06,West,Consumer,Month-to-Month,Fiber,Electronic Check,34,87.18,0,0,1,0,0,0,1,0,0.7542,1,Offer contract upgrade incentive
100091,2020-12-03,North,Consumer,Two Year,Fiber,Bank Transfer,62,79.0,1,3,1,1,1,0,0,0,0.472,1,Monitor account / standard nurture
100092,2022-09-24,South,Consumer,Month-to-Month,None,Electronic Check,8,128.35,2,0,0,0,1,0,0,0,0.92,1,Offer contract upgrade incentive
100093,2023-12-18,North,Consumer,One Year,Fiber,Credit Card,71,134.9,1,1,1,1,1,0,0,0,0.6145,0,Offer targeted discount review
100094,2020-11-13,West,SMB,Two Year,None,Bank Transfer,4,97.71,3,1,1,0,1,0,0,0,0.7172,0,Offer targeted discount review
100095,2021-03-17,North,Consumer,Month-to-Month,Fiber,Electronic Check,36,22.11,4,1,1,1,0,0,0,1,0.8063,1,Offer contract upgrade incentive
100096,2025-04-09,West,SMB,One Year,DSL,Credit Card,38,89.98,3,1,1,0,0,0,0,1,0.6734,1,Provide free tech support retention offer
100097,2019-10-25,West,Consumer,Month-to-Month,None,Credit Card,22,124.78,3,1,0,1,1,0,0,1,0.8882,1,Offer contract upgrade incentive
100098,2025-08-01,South,Consumer,Month-to-Month,Fiber,Mailed Check,1,125.02,1,1,1,0,0,1,1,1,0.92,1,Offer contract upgrade incentive
100099,2021-08-18,South,Enterprise,Month-to-Month,DSL,Electronic Check,53,54.41,0,1,0,1,0,0,1,1,0.4142,0,Monitor account / standard nurture
100100,2023-09-25,South,Consumer,One Year,DSL,Credit Card,61,94.26,3,1,1,1,1,0,1,1,0.5037,1,Monitor account / standard nurture
100101,2024-03-20,East,Consumer,One Year,Fiber,Credit Card,3,67.78,1,0,1,0,1,0,0,0,0.6021,1,Monitor account / standard nurture
100102,2021-06-12,North,Consumer,Month-to-Month,Fiber,Credit Card,3,39.6,1,3,0,0,0,0,1,1,0.8095,1,Offer contract upgrade incentive
100103,2019-03-14,North,Consumer,Month-to-Month,Fiber,Credit Card,14,116.88,1,1,1,1,0,1,1,1,0.9017,1,Offer contract upgrade incentive
100104,2021-11-12,North,Consumer,One Year,DSL,Mailed Check,66,95.7,3,4,1,1,1,0,0,0,0.8221,1,Apply billing outreach and payment plan
100105,2023-01-28,East,Enterprise,One Year,Fiber,Mailed Check,41,120.95,0,0,0,1,1,0,0,0,0.5138,1,Monitor account / standard nurture
100106,2021-04-10,West,Consumer,Month-to-Month,DSL,Electronic Check,36,39.48,3,1,1,0,0,0,0,1,0.7788,0,Offer contract upgrade incentive
100107,2024-01-02,West,Consumer,One Year,DSL,Electronic Check,19,51.5,1,3,1,1,0,1,1,0,0.7736,1,Apply billing outreach and payment plan
100108,2023-02-04,West,Consumer,Month-to-Month,Fiber,Bank Transfer,30,42.84,2,0,1,0,1,0,1,1,0.5501,1,Monitor account / standard nurture
100109,2020-10-12,South,SMB,Month-to-Month,Fiber,Electronic Check,55,89.04,0,1,1,0,0,1,0,1,0.7526,0,Offer contract upgrade incentive
100110,2024-05-19,South,SMB,Two Year,Fiber,Electronic Check,68,68.22,3,0,1,1,0,0,0,1,0.3851,0,Monitor account / standard nurture
100111,2024-06-07,West,Consumer,Two Year,DSL,Electronic Check,25,76.48,0,2,1,1,1,0,0,1,0.5416,0,Monitor account / standard nurture
100112,2024-07-12,East,Consumer,One Year,Fiber,Electronic Check,28,69.65,1,0,0,1,1,1,1,0,0.5393,0,Monitor account / standard nurture
100113,2021-07-02,East,Consumer,Month-to-Month,Fiber,Mailed Check,37,127.09,2,0,1,1,0,0,0,0,0.9083,0,Offer contract upgrade incentive
100114,2019-05-24,East,Consumer,Two Year,None,Bank Transfer,54,132.33,2,0,1,1,1,1,1,1,0.4388,1,Monitor account / standard nurture
100115,2023-04-28,East,Enterprise,One Year,DSL,Electronic Check,66,73.16,0,1,1,0,0,0,1,0,0.3111,0,Monitor account / standard nurture
100116,2019-06-15,North,Consumer,Month-to-Month,Fiber,Electronic Check,14,30.25,2,1,1,1,0,1,0,1,0.8343,1,Offer contract upgrade incentive
100117,2024-03-17,North,SMB,One Year,Fiber,Credit Card,50,45.17,1,1,1,1,0,1,0,0,0.3853,0,Monitor account / standard nurture
100118,2023-12-06,South,SMB,One Year,DSL,Mailed Check,8,118.67,3,1,0,1,1,0,0,0,0.8721,1,Offer targeted discount review
100119,2025-01-16,East,Consumer,Month-to-Month,DSL,Electronic Check,21,88.76,1,0,1,0,0,0,0,1,0.8286,1,Offer contract upgrade incentive
100120,2024-07-31,South,SMB,Month-to-Month,Fiber,Electronic Check,35,40.88,3,1,0,0,0,0,0,0,0.7934,0,Offer contract upgrade incentive
100121,2024-07-29,West,Consumer,Month-to-Month,Fiber,Electronic Check,19,92.59,2,2,0,1,0,0,0,0,0.92,1,Offer contract upgrade incentive
100122,2021-06-14,West,Consumer,Month-to-Month,DSL,Electronic Check,41,74.96,1,1,0,0,0,1,0,0,0.7837,1,Offer contract upgrade incentive
100123,2022-10-21,East,Consumer,One Year,Fiber,Electronic Check,9,29.88,2,1,0,0,0,0,0,1,0.6502,1,Provide free tech support retention offer
100124,2019-04-03,West,SMB,One Year,Fiber,Mailed Check,1,56.9,1,1,1,0,1,0,0,0,0.6862,1,Monitor account / standard nurture
100125,2025-09-26,East,SMB,Month-to-Month,DSL,Electronic Check,33,133.98,3,0,1,0,0,0,1,1,0.9173,1,Offer contract upgrade incentive
100126,2022-04-02,East,Consumer,One Year,Fiber,Bank Transfer,8,99.94,2,0,1,1,0,0,0,1,0.7846,1,Provide free tech support retention offer
100127,2023-05-21,West,Consumer,One Year,Fiber,Credit Card,51,48.83,0,1,0,1,1,0,1,0,0.217,0,Monitor account / standard nurture
100128,2019-09-10,South,Consumer,One Year,Fiber,Credit Card,67,45.55,5,4,1,0,0,0,0,0,0.7835,1,Apply billing outreach and payment plan
100129,2020-08-31,East,Consumer,Month-to-Month,Fiber,Mailed Check,26,117.37,3,0,0,1,0,0,0,1,0.9122,1,Offer contract upgrade incentive
100130,2019-10-10,West,Consumer,Month-to-Month,Fiber,Electronic Check,23,107.55,2,0,1,0,0,0,1,0,0.908,1,Offer contract upgrade incentive
100131,2023-10-20,East,SMB,Month-to-Month,Fiber,Mailed Check,15,52.37,1,1,1,1,0,0,0,1,0.7812,0,Offer contract upgrade incentive
100132,2023-10-23,North,Consumer,Two Year,DSL,Bank Transfer,55,46.5,2,0,1,1,1,0,1,0,0.1594,0,Monitor account / standard nurture
100133,2025-07-11,West,SMB,Two Year,None,Electronic Check,35,72.34,1,0,1,1,1,0,1,0,0.302,0,Monitor account / standard nurture
100134,2020-12-04,South,Consumer,One Year,None,Electronic Check,60,69.08,0,2,0,1,0,0,1,1,0.3667,1,Monitor account / standard nurture
100135,2019-08-16,North,Consumer,Month-to-Month,DSL,Electronic Check,15,56.29,2,0,0,0,0,0,0,0,0.793,1,Offer contract upgrade incentive
100136,2025-04-04,North,Consumer,Month-to-Month,Fiber,Electronic Check,16,92.92,0,1,0,1,1,0,0,0,0.8533,0,Offer contract upgrade incentive
100137,2019-05-03,East,SMB,Month-to-Month,DSL,Electronic Check,66,23.58,2,2,1,1,0,0,1,0,0.5529,0,Monitor account / standard nurture
100138,2024-05-16,South,Consumer,Month-to-Month,DSL,Credit Card,59,106.6,1,2,1,1,0,0,0,1,0.7757,1,Offer contract upgrade incentive
100139,2022-04-13,East,SMB,Month-to-Month,DSL,Electronic Check,13,87.6,3,2,0,0,1,0,0,1,0.92,1,Offer contract upgrade incentive
100140,2023-11-17,East,Consumer,Month-to-Month,None,Mailed Check,25,59.12,7,1,1,1,0,0,0,1,0.92,1,Offer contract upgrade incentive
100141,2019-10-22,East,Consumer,Month-to-Month,None,Bank Transfer,36,116.2,3,0,0,1,0,0,0,1,0.8205,1,Offer contract upgrade incentive
100142,2025-06-24,South,SMB,Month-to-Month,None,Electronic Check,3,90.14,3,1,1,1,0,1,0,1,0.92,1,Offer contract upgrade incentive
100143,2024-10-01,South,Consumer,Month-to-Month,Fiber,Mailed Check,59,69.47,1,0,0,1,1,0,0,0,0.5281,0,Monitor account / standard nurture
100144,2025-09-25,South,Consumer,One Year,Fiber,Bank Transfer,20,81.59,5,1,0,1,1,0,1,0,0.8082,0,Monitor account / standard nurture
100145,2021-08-09,East,Consumer,Month-to-Month,Fiber,Electronic Check,52,36.04,1,0,1,0,0,0,0,0,0.5658,0,Monitor account / standard nurture
100146,2023-10-08,East,Consumer,Month-to-Month,Fiber,Electronic Check,12,25.95,3,1,0,1,1,0,0,1,0.7963,1,Offer contract upgrade incentive
100147,2024-01-24,South,SMB,Month-to-Month,DSL,Credit Card,60,86.9,2,1,1,0,1,0,0,1,0.6234,0,Monitor account / standard nurture
100148,2021-07-06,West,Consumer,Month-to-Month,Fiber,Bank Transfer,54,109.65,5,0,1,0,0,0,0,1,0.8905,1,Offer contract upgrade incentive
100149,2019-01-25,East,Consumer,Month-to-Month,Fiber,Mailed Check,42,62.41,1,0,0,0,1,0,1,0,0.5447,0,Monitor account / standard nurture
100150,2019-06-06,South,Consumer,Month-to-Month,None,Credit Card,3,54.22,2,0,1,0,0,1,0,1,0.7503,1,Offer contract upgrade incentive
100151,2025-10-04,West,Consumer,Month-to-Month,None,Mailed Check,58,129.38,0,3,1,0,1,0,0,1,0.8406,1,Offer contract upgrade incentive
100152,2020-05-14,East,Consumer,Month-to-Month,Fiber,Credit Card,29,105.4,2,1,1,0,0,0,0,0,0.8947,1,Offer contract upgrade incentive
100153,2021-10-25,North,Consumer,One Year,DSL,Credit Card,69,54.72,1,1,1,1,0,1,0,0,0.3072,1,Monitor account / standard nurture
100154,2021-05-25,South,Consumer,Month-to-Month,Fiber,Mailed Check,34,87.42,1,0,1,0,0,0,0,0,0.7967,1,Offer contract upgrade incentive
100155,2019-04-17,North,Consumer,Month-to-Month,DSL,Electronic Check,65,24.53,1,1,1,0,1,0,0,0,0.4284,1,Monitor account / standard nurture
100156,2019-08-16,East,Consumer,Two Year,None,Bank Transfer,68,103.47,0,0,1,1,1,0,1,1,0.1476,0,Monitor account / standard nurture
100157,2020-09-18,East,Consumer,Month-to-Month,Fiber,Mailed Check,25,69.61,3,2,1,0,0,1,1,1,0.9091,1,Offer contract upgrade incentive
100158,2025-07-26,South,SMB,Month-to-Month,DSL,Mailed Check,53,106.58,2,2,1,1,1,0,1,1,0.8104,1,Offer contract upgrade incentive
100159,2023-03-31,North,Enterprise,Month-to-Month,Fiber,Electronic Check,62,133.11,2,1,1,1,1,0,0,1,0.8572,1,Offer contract upgrade incentive
100160,2023-08-20,East,Consumer,One Year,Fiber,Bank Transfer,33,62.49,2,0,1,1,1,0,0,0,0.4972,0,Monitor account / standard nurture
100161,2019-06-22,West,Consumer,Month-to-Month,None,Electronic Check,25,95.9,0,0,1,1,0,0,1,0,0.7551,0,Offer contract upgrade incentive
100162,2020-05-29,South,Consumer,Month-to-Month,DSL,Credit Card,39,81.42,1,1,1,1,0,0,0,0,0.7325,1,Provide free tech support retention offer
100163,2021-12-21,East,Consumer,Two Year,Fiber,Mailed Check,30,114.85,3,0,0,1,0,0,0,1,0.7124,1,Provide free tech support retention offer
100164,2022-02-01,North,Consumer,Month-to-Month,Fiber,Credit Card,70,93.01,3,0,1,0,1,0,1,1,0.6116,1,Offer targeted discount review
100165,2022-05-15,North,SMB,One Year,Fiber,Mailed Check,28,112.79,1,1,1,0,0,0,0,0,0.8013,1,Provide free tech support retention offer
100166,2020-07-02,South,SMB,Two Year,DSL,Electronic Check,24,28.73,3,2,1,1,0,0,1,0,0.5521,1,Monitor account / standard nurture
100167,2019-01-19,West,SMB,Month-to-Month,Fiber,Bank Transfer,30,25.82,3,2,1,1,1,0,1,0,0.7057,1,Apply billing outreach and payment plan
100168,2022-05-07,North,Consumer,Month-to-Month,None,Bank Transfer,46,132.56,0,0,0,0,1,1,0,0,0.6887,1,Offer targeted discount review
100169,2025-10-11,East,Consumer,Month-to-Month,DSL,Mailed Check,33,124.93,1,0,1,1,1,0,0,0,0.8406,0,Offer contract upgrade incentive
100170,2025-12-18,East,SMB,Two Year,DSL,Electronic Check,53,97.63,0,0,1,0,0,1,0,0,0.3992,0,Monitor account / standard nurture
100171,2022-08-24,South,Consumer,Two Year,Fiber,Bank Transfer,11,73.09,0,0,1,0,1,1,0,0,0.4313,0,Monitor account / standard nurture
100172,2021-08-04,West,Consumer,One Year,Fiber,Credit Card,72,107.23,1,0,0,0,1,0,0,1,0.3332,0,Monitor account / standard nurture
100173,2020-01-07,East,Consumer,Month-to-Month,DSL,Bank Transfer,40,126.22,3,3,0,1,1,0,1,1,0.917,1,Offer contract upgrade incentive
100174,2020-04-15,North,Consumer,Two Year,Fiber,Electronic Check,54,28.17,1,1,1,1,0,0,0,1,0.2688,0,Monitor account / standard nurture
100175,2022-08-03,East,Consumer,Month-to-Month,None,Mailed Check,48,39.12,1,1,0,1,0,1,0,0,0.5295,0,Monitor account / standard nurture
100176,2023-10-09,East,Consumer,Month-to-Month,None,Electronic Check,67,118.2,2,2,1,1,1,0,1,1,0.8211,1,Offer contract upgrade incentive
100177,2019-09-10,West,Consumer,Two Year,Fiber,Mailed Check,20,49.23,5,0,0,1,1,0,1,1,0.5315,1,Monitor account / standard nurture
100178,2025-08-11,South,Consumer,Month-to-Month,DSL,Mailed Check,17,75.01,2,0,1,1,1,1,1,0,0.7919,0,Offer contract upgrade incentive
100179,2025-06-16,South,Consumer,One Year,None,Bank Transfer,12,79.04,4,0,1,0,1,0,0,1,0.6982,1,Monitor account / standard nurture
100180,2022-12-01,West,SMB,Two Year,Fiber,Credit Card,64,35.24,2,0,0,0,0,1,0,1,0.1402,0,Monitor account / standard nurture
