Date,Region,Category,Product,Units,Price,DiscountPct,Revenue
2024-01-14,South,Furniture,Shelf,41,141.44,0.1,5219.14
2024-01-14,South,Office Supplies,Paper,22,99.78,0.0,2195.16
2024-01-14,East,Electronics,Tablet,19,238.18,0.0,4525.42
2024-01-14,East,Furniture,Chair,7,452.56,0.0,3167.92
2024-01-14,East,Office Supplies,Stapler,16,480.18,0.15,6530.45
2024-01-14,West,Electronics,Tablet,16,71.24,0.0,1139.84
2024-01-14,West,Furniture,Chair,32,330.49,0.15,8989.33
2024-01-14,West,Office Supplies,Printer Ink,32,57.31,0.0,1833.92
2024-01-15,North,Electronics,Phone,21,154.29,0.0,3240.09
2024-01-15,North,Furniture,Desk,32,150.06,0.0,4801.92
2024-01-15,North,Office Supplies,Printer Ink,39,414.82,0.05,15369.08
2024-01-15,South,Electronics,Phone,9,314.44,0.05,2688.46
2024-01-15,South,Furniture,Chair,34,435.71,0.0,14814.14
2024-01-15,South,Office Supplies,Paper,37,393.25,0.05,13822.74
2024-01-15,East,Electronics,Phone,15,305.18,0.1,4119.93
2024-01-15,East,Furniture,Desk,26,418.0,0.0,10868.0
2024-01-15,East,Office Supplies,Paper,37,244.97,0.1,8157.5
2024-01-15,West,Electronics,Phone,5,26.56,0.1,119.52
2024-01-15,West,Furniture,Chair,32,410.19,0.1,11813.47
2024-01-15,West,Office Supplies,Paper,42,458.32,0.1,17324.5
2024-01-16,North,Electronics,Laptop,41,383.4,0.1,14147.46
2024-01-16,North,Furniture,Desk,25,236.26,0.05,5611.18
2024-01-16,North,Office Supplies,Paper,49,310.96,0.05,14475.19
2024-01-16,South,Electronics,Laptop,44,316.7,0.15,11844.58
2024-01-16,South,Furniture,Shelf,12,30.65,0.05,349.41
2024-01-16,South,Office Supplies,Printer Ink,7,269.68,0.15,1604.6
2024-01-16,East,Electronics,Laptop,48,289.25,0.05,13189.8
2024-01-16,East,Furniture,Shelf,21,84.33,0.1,1593.84
2024-01-16,East,Office Supplies,Stapler,19,396.64,0.05,7159.35
2024-01-16,West,Electronics,Tablet,15,122.22,0.05,1741.63
2024-01-16,West,Furniture,Chair,42,311.88,0.05,12444.01
2024-01-16,West,Office Supplies,Printer Ink,19,229.99,0.1,3932.83
2024-01-17,North,Electronics,Tablet,42,236.44,0.1,8937.43
2024-01-17,North,Furniture,Chair,46,433.93,0.0,19960.78
2024-01-17,North,Office Supplies,Paper,8,240.49,0.0,1923.92
2024-01-17,South,Electronics,Tablet,21,143.96,0.15,2569.69
2024-01-17,South,Furniture,Desk,38,317.99,0.05,11479.44
2024-01-17,South,Office Supplies,Paper,47,298.23,0.1,12615.13
2024-01-17,East,Electronics,Phone,27,81.46,0.1,1979.48
2024-01-17,East,Furniture,Shelf,20,327.62,0.15,5569.54
2024-01-17,East,Office Supplies,Paper,7,439.67,0.1,2769.92
2024-01-17,West,Electronics,Laptop,36,102.71,0.05,3512.68
2024-01-17,West,Furniture,Shelf,23,414.46,0.05,9055.95
2024-01-17,West,Office Supplies,Printer Ink,26,62.58,0.0,1627.08
2024-01-18,North,Electronics,Laptop,45,190.88,0.05,8160.12
2024-01-18,North,Furniture,Chair,18,178.45,0.1,2890.89
2024-01-18,North,Office Supplies,Paper,30,403.72,0.0,12111.6
2024-01-18,South,Electronics,Tablet,34,95.35,0.15,2755.62
2024-01-18,South,Furniture,Desk,21,152.9,0.0,3210.9
2024-01-18,South,Office Supplies,Paper,39,108.57,0.1,3810.81
2024-01-18,East,Electronics,Phone,26,133.34,0.15,2946.81
2024-01-18,East,Furniture,Shelf,18,242.02,0.0,4356.36
2024-01-18,East,Office Supplies,Printer Ink,18,90.91,0.1,1472.74
2024-01-18,West,Electronics,Phone,7,449.7,0.05,2990.5
2024-01-18,West,Furniture,Shelf,49,436.26,0.05,20307.9
2024-01-18,West,Office Supplies,Stapler,19,70.34,0.1,1202.81
2024-01-19,North,Electronics,Laptop,32,29.63,0.0,948.16
2024-01-19,North,Furniture,Desk,43,62.82,0.05,2566.2
2024-01-19,North,Office Supplies,Paper,21,184.6,0.0,3876.6
2024-01-19,South,Electronics,Tablet,7,331.43,0.05,2204.01
2024-01-19,South,Furniture,Shelf,40,277.81,0.05,10556.78
2024-01-19,South,Office Supplies,Stapler,12,301.54,0.15,3075.71
2024-01-19,East,Electronics,Phone,46,156.21,0.05,6826.38
2024-01-19,East,Furniture,Chair,38,137.29,0.1,4695.32
2024-01-19,East,Office Supplies,Paper,10,310.77,0.0,3107.7
2024-01-19,West,Electronics,Laptop,26,128.16,0.05,3165.55
2024-01-19,West,Furniture,Shelf,8,428.39,0.05,3255.76
2024-01-19,West,Office Supplies,Printer Ink,34,103.22,0.1,3158.53
2024-01-20,North,Electronics,Laptop,7,271.77,0.15,1617.03
2024-01-20,North,Furniture,Desk,40,498.68,0.05,18949.84
2024-01-20,North,Office Supplies,Printer Ink,24,485.35,0.15,9901.14
2024-01-20,South,Electronics,Phone,10,488.03,0.05,4636.28
2024-01-20,South,Furniture,Chair,6,287.25,0.15,1464.98
2024-01-20,South,Office Supplies,Printer Ink,49,389.36,0.05,18124.71
2024-01-20,East,Electronics,Tablet,8,224.21,0.0,1793.68
2024-01-20,East,Furniture,Desk,16,75.12,0.05,1141.82
2024-01-20,East,Office Supplies,Printer Ink,42,298.99,0.1,11301.82
2024-01-20,West,Electronics,Phone,40,173.91,0.1,6260.76
2024-01-20,West,Furniture,Desk,10,181.57,0.05,1724.91
2024-01-20,West,Office Supplies,Paper,27,283.48,0.05,7271.26
2024-01-21,North,Electronics,Laptop,44,408.74,0.0,17984.56
2024-01-21,North,Furniture,Shelf,41,21.3,0.0,873.3
2024-01-21,North,Office Supplies,Stapler,19,246.36,0.1,4212.76
2024-01-21,South,Electronics,Phone,34,71.22,0.0,2421.48
2024-01-21,South,Furniture,Chair,48,216.09,0.0,10372.32
2024-01-21,South,Office Supplies,Stapler,13,118.4,0.1,1385.28
2024-01-21,East,Electronics,Phone,5,375.74,0.05,1784.76
2024-01-21,East,Furniture,Desk,12,417.41,0.0,5008.92
2024-01-21,East,Office Supplies,Printer Ink,34,416.06,0.0,14146.04
2024-01-21,West,Electronics,Laptop,23,339.29,0.05,7413.49
2024-01-21,West,Furniture,Chair,8,171.77,0.05,1305.45
2024-01-21,West,Office Supplies,Paper,22,411.97,0.1,8157.01
2024-01-22,North,Electronics,Tablet,36,242.09,0.05,8279.48
2024-01-22,North,Furniture,Desk,27,230.6,0.0,6226.2
2024-01-22,North,Office Supplies,Paper,21,451.8,0.1,8539.02
2024-01-22,South,Electronics,Tablet,18,51.98,0.15,795.29
2024-01-22,South,Furniture,Shelf,43,76.11,0.05,3109.09
2024-01-22,South,Office Supplies,Stapler,11,370.66,0.05,3873.4
2024-01-22,East,Electronics,Phone,33,257.8,0.05,8082.03
2024-01-22,East,Furniture,Shelf,31,398.53,0.05,11736.71
2024-01-22,East,Office Supplies,Paper,37,359.35,0.1,11966.36
2024-01-22,West,Electronics,Phone,37,36.1,0.05,1268.92
2024-01-22,West,Furniture,Chair,14,257.11,0.05,3419.56
2024-01-22,West,Office Supplies,Paper,42,277.51,0.1,10489.88
2024-01-23,North,Electronics,Laptop,28,309.9,0.1,7809.48
2024-01-23,North,Furniture,Desk,12,91.96,0.1,993.17
2024-01-23,North,Office Supplies,Paper,6,25.86,0.1,139.64
2024-01-23,South,Electronics,Phone,40,280.51,0.1,10098.36
2024-01-23,South,Furniture,Shelf,9,416.86,0.05,3564.15
2024-01-23,South,Office Supplies,Printer Ink,44,300.03,0.15,11221.12
2024-01-23,East,Electronics,Phone,30,474.7,0.15,12104.85
2024-01-23,East,Furniture,Chair,17,86.78,0.05,1401.5
2024-01-23,East,Office Supplies,Paper,37,28.69,0.15,902.3
2024-01-23,West,Electronics,Phone,16,69.06,0.15,939.22
2024-01-23,West,Furniture,Desk,41,359.47,0.05,14001.36
2024-01-23,West,Office Supplies,Paper,32,199.73,0.0,6391.36
2024-01-24,North,Electronics,Tablet,33,70.04,0.0,2311.32
2024-01-24,North,Furniture,Chair,15,236.4,0.05,3368.7
2024-01-24,North,Office Supplies,Paper,25,99.45,0.15,2113.31
2024-01-24,South,Electronics,Tablet,27,462.0,0.1,11226.6
2024-01-24,South,Furniture,Chair,44,311.79,0.1,12346.88
2024-01-24,South,Office Supplies,Paper,13,118.68,0.0,1542.84
2024-01-24,East,Electronics,Laptop,30,180.08,0.1,4862.16
2024-01-24,East,Furniture,Desk,30,461.53,0.05,13153.6
2024-01-24,East,Office Supplies,Stapler,22,250.8,0.1,4965.84
2024-01-24,West,Electronics,Laptop,47,35.77,0.1,1513.07
2024-01-24,West,Furniture,Shelf,28,297.26,0.15,7074.79
2024-01-24,West,Office Supplies,Printer Ink,28,169.51,0.0,4746.28
2024-01-25,North,Electronics,Phone,47,323.49,0.15,12923.43
2024-01-25,North,Furniture,Chair,25,267.28,0.0,6682.0
2024-01-25,North,Office Supplies,Paper,24,219.02,0.15,4468.01
2024-01-25,South,Electronics,Phone,44,261.05,0.0,11486.2
2024-01-25,South,Furniture,Desk,34,379.98,0.1,11627.39
2024-01-25,South,Office Supplies,Stapler,36,244.75,0.0,8811.0
2024-01-25,East,Electronics,Laptop,33,246.59,0.15,6916.85
2024-01-25,East,Furniture,Shelf,22,161.14,0.1,3190.57
2024-01-25,East,Office Supplies,Stapler,6,276.54,0.0,1659.24
2024-01-25,West,Electronics,Tablet,34,288.63,0.1,8832.08
2024-01-25,West,Furniture,Desk,12,433.66,0.1,4683.53
2024-01-25,West,Office Supplies,Stapler,36,150.7,0.1,4882.68
2024-01-26,North,Electronics,Tablet,38,216.19,0.1,7393.7
2024-01-26,North,Furniture,Shelf,32,423.1,0.1,12185.28
2024-01-26,North,Office Supplies,Paper,12,33.01,0.1,356.51
2024-01-26,South,Electronics,Phone,28,114.13,0.1,2876.08
2024-01-26,South,Furniture,Desk,12,69.97,0.1,755.68
2024-01-26,South,Office Supplies,Paper,7,445.98,0.15,2653.58
2024-01-26,East,Electronics,Phone,12,67.73,0.15,690.85
2024-01-26,East,Furniture,Chair,36,430.73,0.1,13955.65
2024-01-26,East,Office Supplies,Paper,25,215.07,0.1,4839.08
2024-01-26,West,Electronics,Tablet,11,323.96,0.0,3563.56
2024-01-26,West,Furniture,Shelf,25,32.74,0.0,818.5
2024-01-26,West,Office Supplies,Stapler,40,328.6,0.05,12486.8
2024-01-27,North,Electronics,Tablet,5,412.37,0.15,1752.57
2024-01-27,North,Furniture,Shelf,46,416.05,0.1,17224.47
2024-01-27,North,Office Supplies,Stapler,16,418.71,0.0,6699.36
2024-01-27,South,Electronics,Tablet,34,194.12,0.0,6600.08
2024-01-27,South,Furniture,Shelf,26,394.28,0.0,10251.28
2024-01-27,South,Office Supplies,Printer Ink,34,253.97,0.05,8203.23
2024-01-27,East,Electronics,Phone,36,224.1,0.1,7260.84
2024-01-27,East,Furniture,Desk,18,376.01,0.05,6429.77
2024-01-27,East,Office Supplies,Paper,29,143.79,0.05,3961.41
2024-01-27,West,Electronics,Tablet,47,222.42,0.05,9931.05
2024-01-27,West,Furniture,Chair,33,102.41,0.1,3041.58
2024-01-27,West,Office Supplies,Paper,15,414.84,0.15,5289.21
2024-01-28,North,Electronics,Laptop,46,296.73,0.05,12967.1
2024-01-28,North,Furniture,Chair,21,214.52,0.05,4279.67
2024-01-28,North,Office Supplies,Printer Ink,16,119.08,0.05,1810.02
2024-01-28,South,Electronics,Tablet,25,146.57,0.1,3297.82
2024-01-28,South,Furniture,Chair,31,306.76,0.15,8083.13
2024-01-28,South,Office Supplies,Paper,11,295.18,0.0,3246.98
2024-01-28,East,Electronics,Tablet,25,203.91,0.05,4842.86
2024-01-28,East,Furniture,Chair,6,99.82,0.1,539.03
2024-01-28,East,Office Supplies,Paper,40,390.07,0.0,15602.8
2024-01-28,West,Electronics,Laptop,15,158.57,0.15,2021.77
2024-01-28,West,Furniture,Desk,43,312.99,0.05,12785.64
2024-01-28,West,Office Supplies,Printer Ink,28,469.68,0.0,13151.04
2024-01-29,North,Electronics,Laptop,40,279.12,0.1,10048.32
2024-01-29,North,Furniture,Shelf,47,426.28,0.1,18031.64
2024-01-29,North,Office Supplies,Paper,47,180.44,0.05,8056.65
2024-01-29,South,Electronics,Tablet,13,56.07,0.0,728.91
2024-01-29,South,Furniture,Desk,29,358.36,0.15,8833.57
2024-01-29,South,Office Supplies,Printer Ink,29,138.27,0.1,3608.85
2024-01-29,East,Electronics,Tablet,41,21.12,0.1,779.33
2024-01-29,East,Furniture,Chair,42,303.31,0.1,11465.12
2024-01-29,East,Office Supplies,Paper,48,407.57,0.0,19563.36
2024-01-29,West,Electronics,Laptop,21,476.11,0.1,8998.48
2024-01-29,West,Furniture,Desk,16,280.11,0.15,3809.5
2024-01-29,West,Office Supplies,Stapler,12,326.7,0.0,3920.4
2024-01-30,North,Electronics,Phone,41,352.29,0.05,13721.7
2024-01-30,North,Furniture,Desk,22,254.92,0.1,5047.42
2024-01-30,North,Office Supplies,Stapler,30,44.77,0.05,1275.95
2024-01-30,South,Electronics,Phone,36,358.68,0.1,11621.23
2024-01-30,South,Furniture,Desk,27,286.79,0.05,7356.16
2024-01-30,South,Office Supplies,Printer Ink,11,36.29,0.0,399.19
2024-01-30,East,Electronics,Phone,13,112.45,0.15,1242.57
2024-01-30,East,Furniture,Chair,27,401.76,0.1,9762.77
2024-01-30,East,Office Supplies,Printer Ink,43,238.47,0.1,9228.79
2024-01-30,West,Electronics,Tablet,43,37.76,0.1,1461.31
2024-01-30,West,Furniture,Shelf,48,77.87,0.05,3550.87
2024-01-30,West,Office Supplies,Stapler,41,274.53,0.05,10692.94
2024-01-31,North,Electronics,Phone,27,51.37,0.1,1248.29
2024-01-31,North,Furniture,Desk,8,399.55,0.0,3196.4
2024-01-31,North,Office Supplies,Paper,22,269.68,0.0,5932.96
2024-01-31,South,Electronics,Tablet,48,131.82,0.1,5694.62
2024-01-31,South,Furniture,Shelf,46,495.36,0.1,20507.9
2024-01-31,South,Office Supplies,Stapler,17,273.89,0.15,3957.71
2024-01-31,East,Electronics,Phone,43,24.55,0.0,1055.65
2024-01-31,East,Furniture,Chair,33,38.05,0.15,1067.3
2024-01-31,East,Office Supplies,Paper,20,439.37,0.1,7908.66
2024-01-31,West,Electronics,Laptop,14,64.02,0.1,806.65
2024-01-31,West,Furniture,Shelf,24,374.04,0.05,8528.11
2024-01-31,West,Office Supplies,Paper,7,244.31,0.15,1453.64
2024-02-01,North,Electronics,Tablet,8,363.47,0.0,2907.76
2024-02-01,North,Furniture,Desk,5,456.96,0.1,2056.32
2024-02-01,North,Office Supplies,Paper,19,204.48,0.15,3302.35
2024-02-01,South,Electronics,Phone,41,397.45,0.1,14665.9
2024-02-01,South,Furniture,Chair,43,441.98,0.05,18054.88
2024-02-01,South,Office Supplies,Stapler,17,494.81,0.1,7570.59
2024-02-01,East,Electronics,Phone,12,472.51,0.1,5103.11
2024-02-01,East,Furniture,Chair,49,77.76,0.1,3429.22
2024-02-01,East,Office Supplies,Printer Ink,30,37.63,0.05,1072.46
2024-02-01,West,Electronics,Phone,10,404.37,0.05,3841.52
2024-02-01,West,Furniture,Shelf,27,444.22,0.1,10794.55
2024-02-01,West,Office Supplies,Printer Ink,46,267.32,0.05,11681.88
2024-02-02,North,Electronics,Tablet,21,93.87,0.15,1675.58
2024-02-02,North,Furniture,Shelf,42,319.01,0.0,13398.42
2024-02-02,North,Office Supplies,Stapler,29,304.61,0.05,8392.01
2024-02-02,South,Electronics,Laptop,38,239.57,0.15,7738.11
2024-02-02,South,Furniture,Shelf,32,248.8,0.1,7165.44
2024-02-02,South,Office Supplies,Paper,38,433.82,0.0,16485.16
2024-02-02,East,Electronics,Phone,44,467.16,0.1,18499.54
2024-02-02,East,Furniture,Shelf,38,216.06,0.1,7389.25
2024-02-02,East,Office Supplies,Printer Ink,12,353.94,0.15,3610.19
2024-02-02,West,Electronics,Tablet,22,58.9,0.15,1101.43
2024-02-02,West,Furniture,Desk,32,56.54,0.0,1809.28
2024-02-02,West,Office Supplies,Printer Ink,44,443.8,0.05,18550.84
2024-02-03,North,Electronics,Laptop,7,186.95,0.05,1243.22
2024-02-03,North,Furniture,Shelf,17,148.17,0.05,2392.95
2024-02-03,North,Office Supplies,Stapler,20,336.06,0.0,6721.2
2024-02-03,South,Electronics,Phone,45,180.32,0.0,8114.4
2024-02-03,South,Furniture,Desk,46,70.8,0.1,2931.12
2024-02-03,South,Office Supplies,Printer Ink,11,443.19,0.0,4875.09
2024-02-03,East,Electronics,Tablet,35,416.39,0.05,13844.97
2024-02-03,East,Furniture,Shelf,34,456.18,0.05,14734.61
2024-02-03,East,Office Supplies,Printer Ink,18,383.19,0.15,5862.81
2024-02-03,West,Electronics,Phone,6,157.78,0.05,899.35
